,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,27.Jan 2020 08:06:13,ruicheng,17.35,16.87,17.95,1.0334,44.75,30000,0,Close,True
1,27.Jan 2020 08:11:30,ruicheng,17.35,16.85,18.16,1.0434,44.75,30000,0,Close,True
2,27.Jan 2020 08:16:48,ruicheng,17.4,16.9,18.12,1.0391,44.75,30000,0,Close,True
3,27.Jan 2020 08:22:08,ruicheng,17.45,16.95,18.29,1.0446,44.75,30000,0,Close,True
4,27.Jan 2020 08:27:23,ruicheng,17.43,17.0,18.43,1.0513,44.75,30000,0,Close,True
5,27.Jan 2020 08:32:38,ruicheng,17.35,16.97,18.42,1.0542,44.75,30000,0,Close,True
6,27.Jan 2020 08:37:52,ruicheng,17.35,16.95,18.22,1.0451,44.75,30000,0,Close,True
7,27.Jan 2020 08:43:06,ruicheng,17.49,17.02,18.41,1.0478,44.75,30000,0,Close,True
8,27.Jan 2020 08:48:20,ruicheng,17.45,17.0,18.48,1.0528,44.75,30000,0,Close,True
9,27.Jan 2020 08:53:35,ruicheng,17.4,16.97,18.37,1.05,44.75,30000,0,Close,True
10,27.Jan 2020 08:58:48,ruicheng,17.45,17.0,18.41,1.0496,52.3,30000,0,Close,True
11,27.Jan 2020 09:04:02,ruicheng,17.4,16.95,18.35,1.0493,52.3,30000,0,Close,True
12,27.Jan 2020 09:09:17,ruicheng,17.4,16.97,18.41,1.0518,52.3,30000,0,Close,True
13,27.Jan 2020 09:14:31,ruicheng,17.5,17.02,18.16,1.0359,52.16,30000,0,Close,True
14,27.Jan 2020 09:19:45,ruicheng,17.49,17.0,18.5,1.0522,52.16,30000,0,Close,True
15,27.Jan 2020 09:24:59,ruicheng,17.55,17.03,18.62,1.0552,51.82,30000,0,Close,True
16,27.Jan 2020 09:30:14,ruicheng,17.6,17.06,18.62,1.0529,52.59,30000,0,Close,True
17,27.Jan 2020 09:35:29,ruicheng,17.55,17.05,18.62,1.0549,51.33,30000,0,Close,True
18,27.Jan 2020 09:40:44,ruicheng,17.5,17.05,18.62,1.0568,50.58,30000,0,Close,True
19,27.Jan 2020 09:45:59,ruicheng,17.32,16.9,18.27,1.0491,50.35,30000,0,Close,True
20,27.Jan 2020 09:51:13,ruicheng,17.15,16.82,17.94,1.041,50.44,30000,0,Close,True
21,27.Jan 2020 09:56:27,ruicheng,17.1,16.77,17.69,1.0317,50.76,30000,0,Close,True
22,27.Jan 2020 10:01:41,ruicheng,17.1,16.75,17.53,1.0243,51.4,30000,0,Close,True
23,27.Jan 2020 10:06:55,ruicheng,17.25,16.82,17.53,1.018,52.06,30000,0,Close,True
24,27.Jan 2020 10:12:10,ruicheng,17.3,16.87,17.68,1.0226,52.55,30000,0,Close,True
25,27.Jan 2020 10:17:24,ruicheng,17.49,17.0,17.96,1.0272,52.53,30000,0,Close,True
26,27.Jan 2020 10:22:38,ruicheng,17.5,16.97,17.96,1.0272,53.06,30000,0,Close,True
27,27.Jan 2020 10:27:52,ruicheng,17.57,16.97,17.94,1.0238,51.84,30000,0,Close,True
28,27.Jan 2020 10:33:07,ruicheng,17.6,17.0,17.94,1.0224,51.97,30000,0,Close,True
29,27.Jan 2020 10:38:23,ruicheng,17.32,16.86,17.48,1.0127,51.83,30000,0,Close,True
30,27.Jan 2020 10:43:37,ruicheng,17.4,16.95,17.58,1.0134,52.29,30000,0,Close,True
31,27.Jan 2020 10:48:51,ruicheng,17.38,16.95,17.58,1.0141,52.75,30000,0,Close,True
32,27.Jan 2020 10:54:08,ruicheng,17.5,16.97,17.74,1.0171,53.38,30000,0,Close,True
33,27.Jan 2020 10:59:24,ruicheng,17.55,17.0,17.89,1.0218,52.73,30000,0,Close,True
34,27.Jan 2020 11:04:38,ruicheng,17.75,17.1,18.13,1.0246,52.66,30000,0,Close,True
35,27.Jan 2020 11:09:53,ruicheng,17.6,17.05,17.86,1.0181,52.89,30000,0,Close,True
