,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,18.Dec 2019 08:02:10,tao,12.15,14.75,12.08,0.8337,51.16,30000,-234.55824863174357,Open,True
1,18.Dec 2019 08:07:15,tao,12.15,14.78,12.09,0.8321,51.16,30000,-234.55824863174357,Open,False
2,18.Dec 2019 08:12:18,tao,12.1,14.8,12.1,0.8282,51.16,30000,-234.55824863174357,Open,False
3,18.Dec 2019 08:17:23,tao,12.15,14.75,12.1,0.8337,51.16,30000,-234.55824863174357,Open,False
4,18.Dec 2019 08:22:27,tao,12.15,14.8,12.12,0.8312,51.16,30000,-234.55824863174357,Open,False
5,18.Dec 2019 08:27:30,tao,12.15,14.76,12.07,0.8331,51.16,30000,-234.55824863174357,Open,False
6,18.Dec 2019 08:32:34,tao,12.15,14.8,12.06,0.8309,51.16,30000,-234.55824863174357,Open,False
7,18.Dec 2019 08:37:38,tao,12.15,14.71,12.03,0.8355,51.16,30000,-234.55824863174357,Open,False
8,18.Dec 2019 08:42:41,tao,12.15,14.75,12.03,0.8334,51.16,30000,-234.55824863174357,Open,False
9,18.Dec 2019 08:47:45,tao,12.1,14.75,12.05,0.8306,51.16,30000,-234.55824863174357,Open,False
10,18.Dec 2019 08:52:49,tao,12.1,14.71,12.03,0.8326,51.16,30000,-234.55824863174357,Open,False
11,18.Dec 2019 08:57:52,tao,12.1,14.75,12.05,0.8306,50.95,30000,-235.5250245338567,Open,False
12,18.Dec 2019 09:02:56,tao,12.15,14.71,12.08,0.8358,50.95,30000,-235.5250245338567,Open,False
13,18.Dec 2019 09:08:00,tao,12.1,14.73,12.09,0.8318,50.9,30000,-235.75638506876228,Open,False
14,18.Dec 2019 09:13:06,tao,12.05,14.7,12.03,0.8301,50.9,30000,-235.75638506876228,Open,False
15,18.Dec 2019 09:18:09,tao,12.05,14.67,11.97,0.8314,50.9,30000,-235.75638506876228,Open,False
16,18.Dec 2019 09:23:13,tao,12.05,14.65,11.93,0.8323,50.9,30000,-235.75638506876228,Open,False
17,18.Dec 2019 09:28:16,tao,12.05,14.61,11.94,0.8344,50.65,30000,-236.92003948667326,Open,False
18,18.Dec 2019 09:33:20,tao,12.05,14.65,11.94,0.8323,50.08,30000,-239.61661341853036,Open,False
19,18.Dec 2019 09:38:25,tao,12.05,14.65,11.94,0.8323,50.15,30000,-239.28215353938185,Open,False
20,18.Dec 2019 09:43:30,tao,12.05,14.64,12.0,0.8331,50.15,30000,-239.28215353938185,Open,False
21,18.Dec 2019 09:48:35,tao,12.05,14.61,12.1,0.8352,50.43,30000,-237.9535990481856,Open,False
22,18.Dec 2019 09:53:39,tao,12.05,14.61,12.06,0.835,50.54,30000,-237.43569449940642,Open,False
23,18.Dec 2019 09:58:44,tao,12.05,14.7,12.24,0.8311,50.22,30000,-238.94862604540023,Open,False
24,18.Dec 2019 10:03:50,tao,12.05,14.69,12.26,0.8318,50.41,30000,-238.04800634794685,Open,False
25,18.Dec 2019 10:08:53,tao,12.05,14.65,12.23,0.8337,50.36,30000,-238.28435266084193,Open,False
26,18.Dec 2019 10:13:59,tao,12.05,14.67,12.28,0.8329,50.56,30000,-237.3417721518987,Open,False
27,18.Dec 2019 10:19:05,tao,12.05,14.65,12.27,0.8339,50.36,30000,-238.28435266084193,Open,False
28,18.Dec 2019 10:24:10,tao,12.05,14.67,12.28,0.8329,50.48,30000,-237.71790808240888,Open,False
29,18.Dec 2019 10:29:18,tao,12.05,14.67,12.22,0.8326,50.74,30000,-236.4998029168309,Open,False
30,18.Dec 2019 10:34:22,tao,12.05,14.65,12.29,0.834,51.0,30000,-235.2941176470588,Open,False
31,18.Dec 2019 10:39:27,tao,12.05,14.72,12.37,0.8307,50.7,30000,-236.68639053254438,Open,False
32,18.Dec 2019 10:44:32,tao,12.05,14.75,12.39,0.8292,50.99,30000,-235.34026279662677,Open,False
33,18.Dec 2019 10:49:37,tao,12.05,14.72,12.34,0.8306,51.19,30000,-234.4207853096308,Open,False
34,18.Dec 2019 10:54:40,tao,12.05,14.78,12.37,0.8276,51.24,30000,-234.19203747072598,Open,False
35,18.Dec 2019 10:59:45,tao,12.05,14.8,12.37,0.8265,51.23,30000,-234.23775131758737,Open,False
36,18.Dec 2019 11:04:50,tao,12.05,14.81,12.35,0.8259,51.13,30000,-234.69587326422842,Open,False
37,18.Dec 2019 11:09:55,tao,12.05,14.81,12.43,0.8263,51.09,30000,-234.87962419260128,Open,False
38,18.Dec 2019 11:14:59,tao,12.05,14.75,12.42,0.8294,51.11,30000,-234.7877127763647,Open,False
39,18.Dec 2019 11:20:04,tao,12.05,14.82,12.44,0.8259,50.78,30000,-236.31350925561244,Open,False
40,18.Dec 2019 11:25:09,tao,12.05,14.77,12.39,0.8282,50.87,30000,-235.89541969726756,Open,False
41,18.Dec 2019 11:30:15,tao,12.05,14.7,12.31,0.8315,50.84,30000,-236.03461841070023,Open,False
42,18.Dec 2019 11:35:19,tao,12.05,14.8,12.34,0.8264,51.01,30000,-235.24799059008038,Open,False
43,18.Dec 2019 11:40:23,tao,12.05,14.8,12.34,0.8264,50.87,30000,-235.89541969726756,Open,False
44,18.Dec 2019 11:45:27,tao,12.05,14.8,12.4,0.8267,50.74,30000,-236.4998029168309,Open,False
45,18.Dec 2019 11:50:31,tao,12.05,14.75,12.41,0.8293,50.99,30000,-235.34026279662677,Open,False
46,18.Dec 2019 11:55:35,tao,12.05,14.75,12.37,0.8291,51.18,30000,-234.46658851113716,Open,False
47,18.Dec 2019 12:00:40,tao,12.05,14.8,12.44,0.8269,51.28,30000,-234.00936037441497,Open,False
48,18.Dec 2019 12:05:43,tao,12.05,14.81,12.47,0.8265,51.16,30000,-234.55824863174357,Open,False
49,18.Dec 2019 12:10:48,tao,12.05,14.85,12.47,0.8244,51.2,30000,-234.375,Open,False
50,18.Dec 2019 12:15:54,tao,12.05,14.8,12.43,0.8268,51.24,30000,-234.19203747072598,Open,False
51,18.Dec 2019 12:20:59,tao,12.05,14.81,12.46,0.8265,51.75,30000,-231.8840579710145,Open,False
52,18.Dec 2019 12:26:03,tao,12.05,14.8,12.43,0.8268,51.61,30000,-232.5130788606859,Open,False
53,18.Dec 2019 12:31:09,tao,12.05,14.9,12.46,0.8218,51.48,30000,-233.1002331002331,Open,False
54,18.Dec 2019 12:36:15,tao,12.05,14.9,12.44,0.8217,51.56,30000,-232.73855702094647,Open,False
55,18.Dec 2019 12:41:20,tao,12.05,14.9,12.43,0.8217,51.55,30000,-232.78370514064017,Open,False
56,18.Dec 2019 12:46:24,tao,12.05,14.85,12.44,0.8243,51.57,30000,-232.6934264107039,Open,False
57,18.Dec 2019 12:51:29,tao,12.05,14.85,12.47,0.8244,51.58,30000,-232.64831329972858,Open,False
58,18.Dec 2019 12:56:33,tao,12.05,14.87,12.47,0.8234,51.58,30000,-232.64831329972858,Open,False
59,18.Dec 2019 13:01:38,tao,12.05,14.9,12.45,0.8218,51.5,30000,-233.0097087378641,Open,False
60,18.Dec 2019 13:06:42,tao,12.05,14.9,12.45,0.8218,51.31,30000,-233.87253946599103,Open,False
61,18.Dec 2019 13:11:48,tao,12.05,14.85,12.43,0.8243,51.34,30000,-233.73587845734318,Open,False
62,18.Dec 2019 13:16:52,tao,12.05,14.81,12.41,0.8262,51.19,30000,-234.4207853096308,Open,False
63,18.Dec 2019 13:21:58,tao,12.05,14.82,12.38,0.8256,51.09,30000,-234.87962419260128,Open,False
64,18.Dec 2019 13:27:03,tao,12.05,14.85,12.35,0.8239,51.12,30000,-234.7417840375587,Open,False
65,18.Dec 2019 13:32:08,tao,12.05,14.85,12.29,0.8236,51.18,30000,-234.46658851113716,Open,False
66,18.Dec 2019 13:37:12,tao,12.05,14.81,12.29,0.8256,51.24,30000,-234.19203747072598,Open,False
67,18.Dec 2019 13:42:17,tao,12.05,14.85,12.3,0.8236,51.18,30000,-234.46658851113716,Open,False
68,18.Dec 2019 13:47:22,tao,12.05,14.82,12.31,0.8252,51.09,30000,-234.87962419260128,Open,False
69,18.Dec 2019 13:52:27,tao,12.05,14.8,12.29,0.8262,51.18,30000,-234.46658851113716,Open,False
70,18.Dec 2019 13:57:32,tao,12.05,14.85,12.29,0.8236,51.17,30000,-234.51240961500878,Open,False
71,18.Dec 2019 14:02:36,tao,12.05,14.81,12.29,0.8256,51.08,30000,-234.92560689115115,Open,False
72,18.Dec 2019 14:07:43,tao,12.05,14.85,12.32,0.8237,51.17,30000,-234.51240961500878,Open,False
73,18.Dec 2019 14:12:48,tao,12.05,14.81,12.32,0.8258,51.01,30000,-235.24799059008038,Open,False
74,18.Dec 2019 14:17:52,tao,12.05,14.76,12.28,0.8282,51.08,30000,-234.92560689115115,Open,False
75,18.Dec 2019 14:22:58,tao,12.05,14.77,12.32,0.8279,51.03,30000,-235.15579071134627,Open,False
76,18.Dec 2019 14:28:03,tao,12.05,14.8,12.34,0.8264,50.99,30000,-235.34026279662677,Open,False
77,18.Dec 2019 14:33:07,tao,12.05,14.78,12.32,0.8273,51.08,30000,-234.92560689115115,Open,False
78,18.Dec 2019 14:38:18,tao,12.05,14.8,12.33,0.8264,51.15,30000,-234.60410557184753,Open,False
79,18.Dec 2019 14:43:23,tao,12.05,14.81,12.32,0.8258,51.14,30000,-234.64998044583496,Open,False
80,18.Dec 2019 14:48:28,tao,12.05,14.81,12.31,0.8257,51.22,30000,-234.28348301444748,Open,False
81,18.Dec 2019 14:53:33,tao,12.05,14.85,12.32,0.8237,51.19,30000,-234.4207853096308,Open,False
82,18.Dec 2019 14:58:39,tao,12.05,14.81,12.32,0.8258,51.21,30000,-234.32923257176333,Open,False
83,18.Dec 2019 15:03:44,tao,12.05,14.8,12.32,0.8263,51.46,30000,-233.1908278274388,Open,False
84,18.Dec 2019 15:08:49,tao,12.05,14.83,12.36,0.8249,51.47,30000,-233.14552166310472,Open,False
85,18.Dec 2019 15:13:54,tao,12.05,14.85,12.38,0.824,51.42,30000,-233.37222870478413,Open,False
86,18.Dec 2019 15:18:59,tao,12.05,14.85,12.41,0.8242,51.47,30000,-233.14552166310472,Open,False
87,18.Dec 2019 15:24:04,tao,12.05,14.86,12.4,0.8236,51.46,30000,-233.1908278274388,Open,False
88,18.Dec 2019 15:29:08,tao,12.05,14.86,12.41,0.8236,51.35,30000,-233.69036027263874,Open,False
89,18.Dec 2019 15:34:14,tao,12.05,14.85,12.42,0.8242,51.61,30000,-232.5130788606859,Open,False
