,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,06.Jan 2020 08:01:21,ruicheng,15.53,16.91,15.48,0.9777,51.88,30000,0,Close,True
1,06.Jan 2020 08:06:29,ruicheng,15.54,16.91,15.48,0.9774,51.88,30000,0,Close,True
2,06.Jan 2020 08:11:39,ruicheng,15.58,16.96,15.44,0.9734,51.88,30000,0,Close,True
3,06.Jan 2020 08:16:44,ruicheng,15.61,17.0,15.73,0.986,51.88,30000,0,Close,True
4,06.Jan 2020 08:21:51,ruicheng,15.65,17.01,15.72,0.984,51.88,30000,0,Close,True
5,06.Jan 2020 08:26:56,ruicheng,15.75,17.05,15.8,0.9839,51.88,30000,0,Close,True
6,06.Jan 2020 08:32:01,ruicheng,15.7,17.0,15.74,0.9833,51.88,30000,0,Close,True
7,06.Jan 2020 08:37:06,ruicheng,15.66,16.97,15.69,0.9827,51.88,30000,0,Close,True
8,06.Jan 2020 08:42:12,ruicheng,15.7,17.02,15.38,0.9657,51.88,30000,0,Close,True
9,06.Jan 2020 08:47:18,ruicheng,15.75,17.04,15.76,0.9821,51.88,30000,0,Close,True
10,06.Jan 2020 08:52:24,ruicheng,15.8,17.03,15.76,0.9805,51.88,30000,0,Close,True
11,06.Jan 2020 08:57:31,ruicheng,15.71,17.0,15.72,0.982,54.66,30000,0,Close,True
12,06.Jan 2020 09:02:37,ruicheng,15.76,17.02,15.76,0.982,54.66,30000,0,Close,True
13,06.Jan 2020 09:07:43,ruicheng,15.76,17.02,15.76,0.982,54.7,30000,0,Close,True
14,06.Jan 2020 09:12:49,ruicheng,15.75,17.01,15.74,0.9815,54.7,30000,0,Close,True
15,06.Jan 2020 09:17:54,ruicheng,15.71,16.99,15.71,0.9817,54.73,30000,0,Close,True
16,06.Jan 2020 09:23:00,ruicheng,15.72,16.97,15.65,0.9787,54.73,30000,0,Close,True
17,06.Jan 2020 09:28:05,ruicheng,15.8,17.01,15.67,0.9765,54.83,30000,0,Close,True
18,06.Jan 2020 09:33:10,ruicheng,15.78,17.01,15.67,0.9772,54.09,30000,0,Close,True
19,06.Jan 2020 09:38:18,ruicheng,15.85,17.07,15.67,0.974,54.01,30000,0,Close,True
20,06.Jan 2020 09:43:23,ruicheng,15.6,16.92,15.38,0.9704,53.26,30000,0,Close,True
21,06.Jan 2020 09:48:31,ruicheng,15.63,16.95,15.26,0.9632,53.4,30000,0,Close,True
22,06.Jan 2020 09:53:37,ruicheng,15.45,16.87,15.07,0.9609,54.08,30000,0,Close,True
23,06.Jan 2020 09:58:42,ruicheng,15.46,16.87,14.96,0.9552,53.69,30000,0,Close,True
24,06.Jan 2020 10:03:47,ruicheng,15.61,16.95,15.04,0.9531,53.42,30000,0,Close,True
25,06.Jan 2020 10:08:53,ruicheng,15.54,16.88,15.04,0.9564,53.58,30000,0,Close,True
26,06.Jan 2020 10:13:59,ruicheng,15.5,16.85,15.04,0.9581,53.03,30000,0,Close,True
27,06.Jan 2020 10:19:05,ruicheng,15.5,16.86,15.06,0.9589,53.12,30000,0,Close,True
28,06.Jan 2020 10:24:11,ruicheng,15.4,16.85,14.95,0.957,52.85,30000,0,Close,True
29,06.Jan 2020 10:29:17,ruicheng,15.36,16.8,14.9,0.9565,52.88,30000,0,Close,True
30,06.Jan 2020 10:34:22,ruicheng,15.33,16.83,14.84,0.9541,53.11,30000,0,Close,True
31,06.Jan 2020 10:39:28,ruicheng,15.34,16.78,14.8,0.9525,52.9,30000,0,Close,True
32,06.Jan 2020 10:44:35,ruicheng,15.39,16.81,14.83,0.9519,52.45,30000,0,Close,True
33,06.Jan 2020 10:49:41,ruicheng,15.35,16.8,14.8,0.9519,52.41,30000,0,Close,True
34,06.Jan 2020 10:54:47,ruicheng,15.25,16.75,14.63,0.9475,52.31,30000,-189.2563563372204,Open,True
35,06.Jan 2020 10:59:53,ruicheng,15.26,16.72,14.53,0.9426,52.72,30000,-187.7845220030349,Open,False
36,06.Jan 2020 11:04:56,ruicheng,15.25,16.75,14.5,0.941,52.65,30000,-188.03418803418805,Open,False
37,06.Jan 2020 11:10:00,ruicheng,15.33,16.76,14.64,0.9452,52.0,30000,-190.3846153846154,Open,False
38,06.Jan 2020 11:15:05,ruicheng,15.31,16.8,14.6,0.9433,51.85,30000,-190.9353905496625,Open,False
39,06.Jan 2020 11:20:09,ruicheng,15.18,16.68,14.44,0.9412,52.06,30000,-190.1651940069151,Open,False
40,06.Jan 2020 11:25:13,ruicheng,15.2,16.7,14.39,0.9378,52.17,30000,-189.7642323174238,Open,False
41,06.Jan 2020 11:30:17,ruicheng,15.15,16.68,14.45,0.9427,52.54,30000,-188.4278644842025,Open,False
42,06.Jan 2020 11:35:20,ruicheng,15.23,16.72,14.57,0.9455,52.24,30000,-189.50995405819296,Open,False
