,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,28.Jan 2020 08:03:38,ruicheng,17.15,16.87,16.82,0.9884,53.9,30000,0,Close,True
1,28.Jan 2020 08:08:55,ruicheng,17.25,16.92,16.93,0.9895,53.9,30000,0,Close,True
2,28.Jan 2020 08:14:11,ruicheng,17.25,16.92,16.79,0.9831,53.9,30000,0,Close,True
3,28.Jan 2020 08:19:26,ruicheng,17.17,16.87,16.88,0.9905,53.9,30000,0,Close,True
4,28.Jan 2020 08:24:41,ruicheng,17.17,16.85,16.82,0.988,53.9,30000,0,Close,True
5,28.Jan 2020 08:29:56,ruicheng,17.16,16.9,16.89,0.9909,53.9,30000,0,Close,True
6,28.Jan 2020 08:35:11,ruicheng,17.15,16.89,16.85,0.9895,53.9,30000,0,Close,True
7,28.Jan 2020 08:40:26,ruicheng,17.12,16.87,16.81,0.9889,53.9,30000,0,Close,True
8,28.Jan 2020 08:45:42,ruicheng,17.1,16.86,16.77,0.9878,53.9,30000,0,Close,True
9,28.Jan 2020 08:50:56,ruicheng,17.15,16.86,16.86,0.9903,53.9,30000,0,Close,True
10,28.Jan 2020 08:56:10,ruicheng,17.1,16.85,16.87,0.9926,50.4,30000,0,Close,True
11,28.Jan 2020 09:01:24,ruicheng,17.15,16.83,16.86,0.9907,50.4,30000,0,Close,True
12,28.Jan 2020 09:06:40,ruicheng,17.15,16.87,16.92,0.993,50.4,30000,0,Close,True
13,28.Jan 2020 09:11:54,ruicheng,17.12,16.87,16.76,0.9866,50.4,30000,0,Close,True
14,28.Jan 2020 09:17:09,ruicheng,17.15,16.89,16.95,0.9941,50.45,30000,0,Close,True
15,28.Jan 2020 09:22:24,ruicheng,17.3,16.97,16.98,0.9896,50.45,30000,0,Close,True
16,28.Jan 2020 09:27:39,ruicheng,17.31,17.01,17.0,0.9896,50.65,30000,0,Close,True
17,28.Jan 2020 09:32:54,ruicheng,17.31,17.0,17.0,0.9898,51.2,30000,0,Close,True
18,28.Jan 2020 09:38:09,ruicheng,17.32,17.02,17.0,0.9892,51.37,30000,0,Close,True
19,28.Jan 2020 09:43:24,ruicheng,17.26,16.97,16.91,0.9877,52.06,30000,0,Close,True
20,28.Jan 2020 09:48:40,ruicheng,17.35,17.05,17.27,1.0001,51.6,30000,0,Close,True
21,28.Jan 2020 09:53:54,ruicheng,17.4,17.05,17.37,1.003,51.27,30000,0,Close,True
22,28.Jan 2020 09:59:09,ruicheng,17.35,17.07,17.38,1.0048,51.31,30000,0,Close,True
23,28.Jan 2020 10:04:23,ruicheng,17.27,17.05,17.09,0.9945,51.26,30000,0,Close,True
24,28.Jan 2020 10:09:40,ruicheng,17.29,16.95,17.05,0.9933,50.45,30000,0,Close,True
25,28.Jan 2020 10:14:55,ruicheng,17.25,17.0,16.95,0.9894,49.59,30000,0,Close,True
26,28.Jan 2020 10:20:10,ruicheng,17.1,16.88,16.63,0.9811,49.6,30000,0,Close,True
27,28.Jan 2020 10:25:26,ruicheng,16.99,16.81,16.47,0.9782,48.93,30000,0,Close,True
28,28.Jan 2020 10:30:40,ruicheng,17.0,16.82,16.48,0.9782,48.95,30000,0,Close,True
29,28.Jan 2020 10:35:56,ruicheng,16.85,16.72,16.29,0.9755,48.69,30000,0,Close,True
30,28.Jan 2020 10:41:11,ruicheng,16.9,16.77,16.36,0.9765,48.9,30000,0,Close,True
31,28.Jan 2020 10:46:27,ruicheng,16.9,16.77,16.35,0.976,48.49,30000,0,Close,True
32,28.Jan 2020 10:51:41,ruicheng,16.85,16.77,16.21,0.9711,48.26,30000,0,Close,True
33,28.Jan 2020 10:56:56,ruicheng,16.8,16.71,16.06,0.9665,48.46,30000,0,Close,True
34,28.Jan 2020 11:02:10,ruicheng,16.73,16.67,15.93,0.9631,48.51,30000,0,Close,True
35,28.Jan 2020 11:07:26,ruicheng,16.75,16.7,15.89,0.9602,49.12,30000,0,Close,True
36,28.Jan 2020 11:12:40,ruicheng,16.85,16.72,15.94,0.9591,49.22,30000,0,Close,True
