,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,24.Mar 2020 08:04:59,tao,43.95,40.12,55.54,1.2315,410.0,30000,0,Close,True
1,24.Mar 2020 08:10:07,tao,44.0,40.0,55.54,1.2312,410.0,30000,0,Close,True
2,24.Mar 2020 08:15:15,tao,44.19,40.3,54.88,1.2141,410.0,30000,0,Close,True
3,24.Mar 2020 08:20:23,tao,44.7,40.4,55.41,1.2141,410.0,30000,0,Close,True
4,24.Mar 2020 08:25:30,tao,44.65,40.45,55.58,1.2178,410.0,30000,0,Close,True
5,24.Mar 2020 08:30:36,tao,44.25,39.75,56.08,1.2378,410.0,30000,0,Close,True
6,24.Mar 2020 08:35:43,tao,43.85,38.95,55.74,1.2433,410.0,30000,0,Close,True
7,24.Mar 2020 08:40:50,tao,43.69,38.4,55.74,1.2494,410.0,30000,0,Close,True
8,24.Mar 2020 08:45:58,tao,44.0,38.9,55.73,1.2406,410.0,30000,0,Close,True
9,24.Mar 2020 08:51:05,tao,43.85,38.55,55.42,1.2396,275.21,30000,0,Close,True
10,24.Mar 2020 08:56:12,tao,44.0,39.25,55.61,1.2365,275.21,30000,0,Close,True
11,24.Mar 2020 09:01:19,tao,43.0,38.75,54.67,1.2404,275.21,30000,0,Close,True
12,24.Mar 2020 09:06:28,tao,43.05,38.95,54.7,1.2389,282.0,30000,0,Close,True
13,24.Mar 2020 09:11:36,tao,43.6,38.75,54.87,1.2329,272.35,30000,0,Close,True
14,24.Mar 2020 09:16:42,tao,43.45,38.1,54.99,1.2416,272.35,30000,0,Close,True
15,24.Mar 2020 09:21:53,tao,42.7,37.97,54.7,1.2511,273.5,30000,0,Close,True
16,24.Mar 2020 09:27:02,tao,42.75,38.12,54.68,1.2489,273.5,30000,0,Close,True
17,24.Mar 2020 09:32:09,tao,43.14,38.47,54.68,1.2395,255.03,30000,0,Close,True
18,24.Mar 2020 09:37:19,tao,43.04,38.4,54.68,1.2418,230.0,30000,0,Close,True
19,24.Mar 2020 09:42:27,tao,42.1,37.35,54.03,1.2534,236.0,30000,0,Close,True
20,24.Mar 2020 09:47:37,tao,40.6,36.0,52.17,1.2549,235.0,30000,0,Close,True
21,24.Mar 2020 09:52:45,tao,40.73,36.6,53.61,1.2773,235.42,30000,0,Close,True
22,24.Mar 2020 09:58:00,tao,40.96,36.8,53.7,1.2731,235.95,30000,0,Close,True
23,24.Mar 2020 10:03:08,tao,40.38,36.12,53.1,1.2773,238.0,30000,0,Close,True
24,24.Mar 2020 10:08:19,tao,41.1,37.1,54.12,1.2768,243.09,30000,0,Close,True
25,24.Mar 2020 10:13:28,tao,41.0,37.4,53.92,1.2732,252.0,30000,0,Close,True
26,24.Mar 2020 10:18:38,tao,41.35,37.6,53.76,1.2617,248.0,30000,0,Close,True
27,24.Mar 2020 10:23:47,tao,41.7,37.65,54.69,1.2724,251.0,30000,0,Close,True
28,24.Mar 2020 10:28:54,tao,41.7,37.34,54.35,1.2676,251.5,30000,0,Close,True
29,24.Mar 2020 10:34:06,tao,41.9,37.4,54.05,1.2575,258.15,30000,0,Close,True
30,24.Mar 2020 10:39:15,tao,42.09,37.35,53.58,1.245,264.0,30000,0,Close,True
31,24.Mar 2020 10:44:23,tao,42.55,37.8,54.05,1.2426,256.97,30000,0,Close,True
32,24.Mar 2020 10:49:32,tao,42.95,38.03,54.27,1.2379,275.73,30000,0,Close,True
33,24.Mar 2020 10:54:40,tao,42.53,37.9,54.2,1.2452,283.24,30000,0,Close,True
34,24.Mar 2020 10:59:47,tao,43.2,38.55,55.48,1.2529,285.98,30000,0,Close,True
35,24.Mar 2020 11:04:54,tao,44.1,38.65,55.95,1.2442,285.0,30000,0,Close,True
36,24.Mar 2020 11:10:06,tao,44.55,39.25,55.87,1.2313,294.25,30000,0,Close,True
37,24.Mar 2020 11:15:14,tao,44.4,39.21,55.91,1.2349,290.03,30000,0,Close,True
38,24.Mar 2020 11:20:30,tao,44.95,39.55,56.54,1.2346,289.89,30000,0,Close,True
39,24.Mar 2020 11:25:37,tao,44.7,39.2,56.39,1.2383,291.0,30000,0,Close,True
40,24.Mar 2020 11:30:45,tao,44.66,39.0,56.44,1.241,291.97,30000,0,Close,True
41,24.Mar 2020 11:35:54,tao,44.65,39.2,56.5,1.2412,291.28,30000,0,Close,True
42,24.Mar 2020 11:41:00,tao,44.65,39.4,56.26,1.2357,288.67,30000,0,Close,True
43,24.Mar 2020 11:46:07,tao,44.65,39.5,56.23,1.2346,299.0,30000,0,Close,True
44,24.Mar 2020 11:51:15,tao,44.5,39.2,56.47,1.2434,316.07,30000,0,Close,True
45,24.Mar 2020 11:56:23,tao,45.25,39.8,57.17,1.2392,306.3,30000,0,Close,True
46,24.Mar 2020 12:01:32,tao,46.45,40.69,58.1,1.2299,312.43,30000,0,Close,True
47,24.Mar 2020 12:06:44,tao,45.7,40.0,57.52,1.2364,318.8,30000,0,Close,True
48,24.Mar 2020 12:11:50,tao,46.2,40.4,57.81,1.2307,325.0,30000,0,Close,True
49,24.Mar 2020 12:17:01,tao,47.1,40.95,58.87,1.2308,320.0,30000,0,Close,True
50,24.Mar 2020 12:22:10,tao,46.85,41.0,58.96,1.2363,309.76,30000,0,Close,True
51,24.Mar 2020 12:27:23,tao,46.9,40.34,59.37,1.2461,311.3,30000,0,Close,True
52,24.Mar 2020 12:32:34,tao,46.08,40.55,59.45,1.2607,320.61,30000,0,Close,True
53,24.Mar 2020 12:37:47,tao,46.1,40.55,59.61,1.2631,315.55,30000,0,Close,True
54,24.Mar 2020 12:42:57,tao,46.5,41.05,60.11,1.262,313.68,30000,0,Close,True
55,24.Mar 2020 12:48:04,tao,46.45,40.45,59.57,1.2568,318.0,30000,0,Close,True
56,24.Mar 2020 12:53:13,tao,46.3,40.5,59.9,1.2649,320.0,30000,0,Close,True
57,24.Mar 2020 12:58:21,tao,46.5,40.85,60.26,1.2657,321.0,30000,0,Close,True
58,24.Mar 2020 13:03:31,tao,46.8,40.9,60.41,1.2627,318.35,30000,0,Close,True
59,24.Mar 2020 13:08:41,tao,46.8,40.81,59.31,1.2442,320.08,30000,0,Close,True
60,24.Mar 2020 13:13:49,tao,46.69,40.55,58.6,1.2352,319.4,30000,0,Close,True
61,24.Mar 2020 13:18:57,tao,46.75,41.0,58.98,1.2384,322.0,30000,0,Close,True
62,24.Mar 2020 13:24:05,tao,46.4,40.8,59.64,1.257,323.07,30000,0,Close,True
63,24.Mar 2020 13:29:14,tao,46.75,41.0,59.73,1.2513,315.77,30000,0,Close,True
64,24.Mar 2020 13:34:25,tao,46.5,40.9,59.78,1.2571,318.0,30000,0,Close,True
65,24.Mar 2020 13:39:37,tao,46.55,40.9,59.3,1.2479,310.6,30000,0,Close,True
66,24.Mar 2020 13:44:44,tao,46.41,40.72,59.14,1.2485,309.0,30000,0,Close,True
67,24.Mar 2020 13:49:57,tao,46.05,40.45,58.78,1.25,305.71,30000,0,Close,True
68,24.Mar 2020 13:55:05,tao,46.1,40.7,58.9,1.2499,310.0,30000,0,Close,True
69,24.Mar 2020 14:00:12,tao,45.55,40.45,58.95,1.262,309.2,30000,0,Close,True
70,24.Mar 2020 14:05:23,tao,46.15,40.8,59.67,1.262,308.73,30000,0,Close,True
71,24.Mar 2020 14:10:49,tao,45.9,40.6,59.5,1.2645,309.92,30000,0,Close,True
72,24.Mar 2020 14:15:58,tao,45.75,40.3,59.81,1.2744,301.68,30000,0,Close,True
73,24.Mar 2020 14:21:06,tao,46.02,40.47,60.11,1.2738,295.0,30000,0,Close,True
74,24.Mar 2020 14:26:16,tao,45.5,39.42,60.17,1.2902,278.66,30000,0,Close,True
75,24.Mar 2020 14:31:23,tao,45.1,39.1,59.63,1.2898,280.0,30000,0,Close,True
76,24.Mar 2020 14:36:33,tao,44.25,38.4,59.22,1.3027,270.0,30000,0,Close,True
77,24.Mar 2020 14:41:44,tao,44.1,38.45,58.92,1.2998,283.78,30000,0,Close,True
78,24.Mar 2020 14:46:55,tao,43.3,37.75,58.39,1.3099,300.0,30000,0,Close,True
79,24.Mar 2020 14:52:02,tao,44.45,38.74,58.53,1.2843,294.99,30000,0,Close,True
80,24.Mar 2020 14:57:10,tao,45.4,39.45,58.62,1.2643,299.99,30000,0,Close,True
81,24.Mar 2020 15:02:17,tao,45.05,39.3,58.66,1.2723,307.94,30000,0,Close,True
82,24.Mar 2020 15:07:28,tao,45.45,39.05,58.69,1.2669,311.97,30000,0,Close,True
83,24.Mar 2020 15:12:38,tao,46.05,39.25,59.39,1.2674,317.46,30000,0,Close,True
84,24.Mar 2020 15:17:46,tao,46.24,39.4,59.68,1.2682,315.0,30000,0,Close,True
85,24.Mar 2020 15:22:55,tao,46.8,39.8,60.02,1.2621,316.25,30000,0,Close,True
86,24.Mar 2020 15:28:02,tao,46.75,39.7,60.0,1.2631,306.66,30000,0,Close,True
87,24.Mar 2020 15:33:10,tao,46.6,40.0,60.38,1.2707,312.0,30000,0,Close,True
