,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,20.Mar 2020 08:03:45,tao,60.48,52.8,67.61,1.1184,646.0,30000,0,Close,True
1,20.Mar 2020 08:08:52,tao,60.55,52.9,67.65,1.1178,646.0,30000,0,Close,True
2,20.Mar 2020 08:14:01,tao,60.3,52.65,67.14,1.1141,646.0,30000,0,Close,True
3,20.Mar 2020 08:19:08,tao,59.85,52.65,67.08,1.1211,646.0,30000,0,Close,True
4,20.Mar 2020 08:24:14,tao,60.5,53.52,67.88,1.1222,646.0,30000,0,Close,True
5,20.Mar 2020 08:29:20,tao,61.2,54.05,68.24,1.1154,646.0,30000,0,Close,True
6,20.Mar 2020 08:34:25,tao,60.9,53.8,67.92,1.1156,646.0,30000,0,Close,True
7,20.Mar 2020 08:39:32,tao,61.6,54.36,69.11,1.1221,646.0,30000,0,Close,True
8,20.Mar 2020 08:44:37,tao,61.8,54.55,68.63,1.111,646.0,30000,0,Close,True
9,20.Mar 2020 08:49:43,tao,61.55,54.55,68.85,1.1188,646.0,30000,0,Close,True
10,20.Mar 2020 08:54:49,tao,61.65,54.7,68.83,1.1167,646.0,30000,0,Close,True
11,20.Mar 2020 08:59:56,tao,61.85,54.95,68.75,1.1118,633.01,30000,0,Close,True
12,20.Mar 2020 09:05:10,tao,62.55,54.95,68.9,1.1023,633.01,30000,0,Close,True
13,20.Mar 2020 09:10:26,tao,62.0,55.05,69.2,1.1163,641.5,30000,0,Close,True
14,20.Mar 2020 09:15:41,tao,61.25,54.2,68.55,1.1194,646.0,30000,0,Close,True
15,20.Mar 2020 09:20:57,tao,61.1,54.05,68.79,1.126,659.01,30000,0,Close,True
16,20.Mar 2020 09:26:12,tao,61.8,54.1,68.33,1.1064,669.01,30000,0,Close,True
17,20.Mar 2020 09:31:27,tao,61.4,54.3,68.33,1.1132,576.54,30000,0,Close,True
18,20.Mar 2020 09:36:43,tao,61.05,53.95,68.33,1.1195,574.76,30000,0,Close,True
19,20.Mar 2020 09:41:59,tao,60.15,53.35,68.37,1.1365,658.77,30000,0,Close,True
20,20.Mar 2020 09:47:16,tao,59.55,52.9,66.1,1.1103,667.0,30000,0,Close,True
21,20.Mar 2020 09:52:33,tao,61.9,55.1,67.62,1.093,643.8,30000,0,Close,True
22,20.Mar 2020 09:57:49,tao,63.1,56.4,68.82,1.0912,615.99,30000,0,Close,True
23,20.Mar 2020 10:03:05,tao,62.25,55.65,68.06,1.0938,602.0,30000,0,Close,True
24,20.Mar 2020 10:08:23,tao,61.2,54.75,65.67,1.0739,594.78,30000,0,Close,True
25,20.Mar 2020 10:13:40,tao,60.25,53.9,63.82,1.0604,590.72,30000,0,Close,True
26,20.Mar 2020 10:18:57,tao,59.75,53.6,62.7,1.0507,555.0,30000,0,Close,True
27,20.Mar 2020 10:24:13,tao,59.4,53.3,62.15,1.0477,520.0,30000,0,Close,True
28,20.Mar 2020 10:29:29,tao,58.25,52.15,60.58,1.0415,513.01,30000,0,Close,True
29,20.Mar 2020 10:34:44,tao,56.65,50.97,59.64,1.054,481.02,30000,0,Close,True
30,20.Mar 2020 10:39:59,tao,55.85,50.3,59.35,1.0636,495.26,30000,0,Close,True
31,20.Mar 2020 10:45:16,tao,54.72,49.4,58.27,1.0657,500.0,30000,0,Close,True
32,20.Mar 2020 10:50:31,tao,54.93,49.3,57.62,1.0503,490.42,30000,0,Close,True
33,20.Mar 2020 10:55:47,tao,55.3,49.9,58.35,1.0562,480.01,30000,0,Close,True
34,20.Mar 2020 11:01:05,tao,55.1,49.72,58.13,1.0561,455.0,30000,0,Close,True
35,20.Mar 2020 11:06:22,tao,54.45,49.0,58.06,1.0672,468.0,30000,0,Close,True
36,20.Mar 2020 11:11:41,tao,54.15,48.95,57.8,1.0682,465.0,30000,0,Close,True
37,20.Mar 2020 11:16:58,tao,54.55,49.15,58.55,1.0741,499.0,30000,0,Close,True
38,20.Mar 2020 11:22:14,tao,53.7,48.45,58.49,1.0896,550.16,30000,0,Close,True
39,20.Mar 2020 11:27:30,tao,55.85,50.4,59.87,1.0727,566.51,30000,0,Close,True
40,20.Mar 2020 11:32:45,tao,57.35,51.85,62.39,1.0882,559.39,30000,0,Close,True
41,20.Mar 2020 11:38:01,tao,59.1,51.6,64.21,1.0876,535.0,30000,0,Close,True
42,20.Mar 2020 11:43:17,tao,58.7,52.3,63.46,1.0819,535.49,30000,0,Close,True
43,20.Mar 2020 11:48:34,tao,57.35,51.45,62.08,1.0831,560.0,30000,0,Close,True
44,20.Mar 2020 11:53:49,tao,57.7,52.15,63.13,1.0944,559.99,30000,0,Close,True
45,20.Mar 2020 11:59:05,tao,58.71,52.55,63.28,1.0786,551.76,30000,0,Close,True
46,20.Mar 2020 12:04:20,tao,58.7,52.75,63.2,1.0774,555.0,30000,0,Close,True
47,20.Mar 2020 12:09:36,tao,58.25,52.97,63.0,1.0819,617.66,30000,0,Close,True
48,20.Mar 2020 12:14:53,tao,58.6,53.5,62.86,1.0732,588.0,30000,0,Close,True
49,20.Mar 2020 12:20:09,tao,61.2,54.84,65.15,1.0656,615.0,30000,0,Close,True
50,20.Mar 2020 12:25:27,tao,59.85,54.05,63.89,1.0683,614.99,30000,0,Close,True
51,20.Mar 2020 12:30:44,tao,60.55,55.05,64.37,1.0638,611.99,30000,0,Close,True
52,20.Mar 2020 12:36:00,tao,61.1,54.8,65.74,1.0767,584.0,30000,0,Close,True
53,20.Mar 2020 12:41:16,tao,60.55,54.6,65.65,1.0847,588.0,30000,0,Close,True
54,20.Mar 2020 12:46:33,tao,60.24,53.7,64.84,1.0773,543.01,30000,0,Close,True
55,20.Mar 2020 12:51:48,tao,60.2,54.2,64.89,1.0786,549.89,30000,0,Close,True
56,20.Mar 2020 12:57:04,tao,58.35,53.24,63.83,1.094,523.0,30000,0,Close,True
57,20.Mar 2020 13:02:23,tao,58.1,52.4,62.59,1.0779,540.92,30000,0,Close,True
58,20.Mar 2020 13:07:39,tao,56.9,51.56,61.66,1.0841,536.99,30000,0,Close,True
59,20.Mar 2020 13:12:55,tao,57.4,51.85,61.69,1.0754,525.0,30000,0,Close,True
60,20.Mar 2020 13:18:10,tao,57.6,52.2,61.55,1.0693,537.65,30000,0,Close,True
61,20.Mar 2020 13:23:26,tao,57.2,51.65,61.79,1.0808,536.98,30000,0,Close,True
62,20.Mar 2020 13:28:41,tao,57.25,52.2,61.92,1.0819,550.75,30000,0,Close,True
63,20.Mar 2020 13:33:58,tao,57.65,52.55,62.22,1.0796,536.01,30000,0,Close,True
64,20.Mar 2020 13:39:14,tao,58.1,52.7,62.47,1.0758,537.2,30000,0,Close,True
65,20.Mar 2020 13:44:30,tao,57.95,52.4,62.18,1.0737,535.0,30000,0,Close,True
