,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,14.Jan 2020 08:01:57,tao,13.25,15.4,12.52,0.8801,42.16,30000,-284.6299810246679,Open,True
1,14.Jan 2020 08:07:12,tao,13.25,15.38,12.55,0.8815,42.16,30000,-284.6299810246679,Open,False
2,14.Jan 2020 08:12:16,tao,13.15,15.35,12.48,0.8782,42.16,30000,-284.6299810246679,Open,False
3,14.Jan 2020 08:17:21,tao,13.22,15.37,12.5,0.88,42.16,30000,-284.6299810246679,Open,False
4,14.Jan 2020 08:22:25,tao,13.2,15.32,12.49,0.8813,42.16,30000,-284.6299810246679,Open,False
5,14.Jan 2020 08:27:32,tao,13.2,15.33,12.53,0.8816,42.16,30000,-284.6299810246679,Open,False
6,14.Jan 2020 08:32:36,tao,13.2,15.35,12.55,0.8811,42.16,30000,-284.6299810246679,Open,False
7,14.Jan 2020 08:37:40,tao,13.2,15.35,12.58,0.8816,42.16,30000,-284.6299810246679,Open,False
8,14.Jan 2020 08:42:44,tao,13.2,15.32,12.54,0.8822,42.16,30000,-284.6299810246679,Open,False
9,14.Jan 2020 08:47:47,tao,13.17,15.32,12.46,0.8798,42.16,30000,-284.6299810246679,Open,False
10,14.Jan 2020 08:52:51,tao,13.17,15.32,12.45,0.8796,42.16,30000,-284.6299810246679,Open,False
11,14.Jan 2020 08:57:55,tao,13.15,15.27,12.43,0.8807,41.98,30000,-285.8504049547404,Open,False
12,14.Jan 2020 09:02:59,tao,13.12,15.27,12.39,0.879,41.98,30000,-285.8504049547404,Open,False
13,14.Jan 2020 09:08:03,tao,13.1,15.29,12.41,0.8779,41.98,30000,-285.8504049547404,Open,False
14,14.Jan 2020 09:13:07,tao,13.14,15.3,12.31,0.877,41.7,30000,-287.76978417266184,Open,False
15,14.Jan 2020 09:18:11,tao,13.11,15.27,12.48,0.8803,41.7,30000,-287.76978417266184,Open,False
16,14.Jan 2020 09:23:16,tao,13.1,15.27,12.48,0.88,41.7,30000,-287.76978417266184,Open,False
17,14.Jan 2020 09:28:20,tao,13.1,15.29,12.49,0.8793,41.7,30000,-287.76978417266184,Open,False
18,14.Jan 2020 09:33:24,tao,13.07,15.27,12.49,0.8791,41.62,30000,-288.32292167227297,Open,False
19,14.Jan 2020 09:38:28,tao,13.18,15.37,12.49,0.8785,41.65,30000,-288.1152460984394,Open,False
20,14.Jan 2020 09:43:32,tao,13.05,15.27,12.52,0.879,41.9,30000,-286.3961813842482,Open,False
21,14.Jan 2020 09:48:36,tao,13.08,15.26,12.47,0.8796,41.85,30000,-286.7383512544803,Open,False
22,14.Jan 2020 09:53:40,tao,13.17,15.31,12.53,0.8815,42.29,30000,-283.7550248285647,Open,False
23,14.Jan 2020 09:58:44,tao,13.13,15.31,12.48,0.8792,42.41,30000,-282.9521339306767,Open,False
24,14.Jan 2020 10:03:47,tao,13.21,15.4,12.61,0.8803,42.09,30000,-285.10334996436205,Open,False
25,14.Jan 2020 10:08:51,tao,13.3,15.42,12.72,0.8844,42.05,30000,-285.37455410225925,Open,False
26,14.Jan 2020 10:13:56,tao,13.19,15.35,12.71,0.8836,41.99,30000,-285.78232912598236,Open,False
27,14.Jan 2020 10:19:01,tao,13.16,15.34,12.52,0.8797,41.65,30000,-288.1152460984394,Open,False
28,14.Jan 2020 10:24:04,tao,13.16,15.35,12.48,0.8785,41.89,30000,-286.464550011936,Open,False
29,14.Jan 2020 10:29:09,tao,13.1,15.35,12.42,0.8755,41.87,30000,-286.60138524002866,Open,False
30,14.Jan 2020 10:34:13,tao,13.17,15.35,12.52,0.8796,41.55,30000,-288.8086642599278,Open,False
31,14.Jan 2020 10:39:17,tao,13.17,15.3,12.46,0.8807,41.69,30000,-287.8388102662509,Open,False
32,14.Jan 2020 10:44:21,tao,13.13,15.27,12.39,0.8794,41.48,30000,-289.2960462873674,Open,False
33,14.Jan 2020 10:49:25,tao,13.15,15.27,12.4,0.8802,41.69,30000,-287.8388102662509,Open,False
34,14.Jan 2020 10:54:29,tao,13.08,15.25,12.37,0.8782,41.74,30000,-287.49401054144704,Open,False
