,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,31.Dec 2019 08:00:05,tao,15.63,17.37,14.99,0.9447,55.85,30000,-177.26051924798568,Open,True
1,31.Dec 2019 08:05:12,tao,15.63,17.37,14.97,0.9437,55.85,30000,-177.26051924798568,Open,False
2,31.Dec 2019 08:10:16,tao,15.65,17.36,14.99,0.9441,55.85,30000,-177.26051924798568,Open,False
3,31.Dec 2019 08:15:19,tao,15.55,17.32,14.86,0.9416,55.85,30000,-177.26051924798568,Open,False
4,31.Dec 2019 08:20:23,tao,15.51,17.28,14.77,0.939,55.85,30000,-177.26051924798568,Open,False
5,31.Dec 2019 08:25:28,tao,15.56,17.3,14.81,0.9391,55.85,30000,-177.26051924798568,Open,False
6,31.Dec 2019 08:30:32,tao,15.55,17.3,14.86,0.9418,55.85,30000,-177.26051924798568,Open,False
7,31.Dec 2019 08:35:35,tao,15.55,17.3,14.84,0.9409,55.85,30000,-177.26051924798568,Open,False
8,31.Dec 2019 08:40:40,tao,15.55,17.3,14.86,0.9418,55.85,30000,-177.26051924798568,Open,False
9,31.Dec 2019 08:45:44,tao,15.6,17.3,14.53,0.9242,55.85,30000,-177.26051924798568,Open,False
10,31.Dec 2019 08:50:49,tao,15.6,17.3,14.91,0.9426,55.85,30000,-177.26051924798568,Open,False
11,31.Dec 2019 08:55:52,tao,15.65,17.35,14.98,0.9438,56.03,30000,-176.691058361592,Open,False
12,31.Dec 2019 09:00:56,tao,15.6,17.4,15.07,0.9491,56.03,30000,-176.691058361592,Open,False
13,31.Dec 2019 09:06:00,tao,15.65,17.4,15.08,0.948,56.29,30000,-175.87493338070706,Open,False
14,31.Dec 2019 09:11:04,tao,15.7,17.4,15.09,0.9468,56.29,30000,-175.87493338070706,Open,False
15,31.Dec 2019 09:16:08,tao,15.68,17.41,15.11,0.9483,56.56,30000,-175.03536067892503,Open,False
16,31.Dec 2019 09:21:14,tao,15.7,17.41,15.13,0.9487,56.56,30000,-175.03536067892503,Open,False
17,31.Dec 2019 09:26:18,tao,15.7,17.43,15.13,0.9484,56.81,30000,-174.26509417356098,Open,False
18,31.Dec 2019 09:31:23,tao,15.75,17.41,15.13,0.947,57.66,30000,-171.6961498439126,Open,False
19,31.Dec 2019 09:36:27,tao,15.71,17.43,15.13,0.9481,56.06,30000,-176.59650374598644,Open,False
20,31.Dec 2019 09:41:31,tao,15.85,17.5,15.34,0.9527,55.92,30000,0,Close,True
21,31.Dec 2019 09:46:37,tao,15.6,17.35,14.97,0.9449,56.04,30000,-176.65952890792292,Open,True
22,31.Dec 2019 09:51:43,tao,15.6,17.36,14.93,0.9429,55.41,30000,-178.66811044937737,Open,False
23,31.Dec 2019 09:56:48,tao,15.55,17.31,14.89,0.9432,55.65,30000,-177.89757412398922,Open,False
24,31.Dec 2019 10:01:52,tao,15.48,17.27,14.86,0.9445,55.61,30000,-178.0255349757238,Open,False
25,31.Dec 2019 10:06:57,tao,15.5,17.32,14.87,0.9437,56.4,30000,-175.53191489361703,Open,False
26,31.Dec 2019 10:12:01,tao,15.55,17.32,14.93,0.945,56.11,30000,-176.43913740866157,Open,False
27,31.Dec 2019 10:17:04,tao,15.6,17.38,15.13,0.9523,56.03,30000,0,Close,True
28,31.Dec 2019 10:22:13,tao,15.55,17.37,15.02,0.9487,56.01,30000,-176.75415104445636,Open,True
29,31.Dec 2019 10:27:19,tao,15.58,17.37,14.99,0.9463,56.1,30000,-176.47058823529412,Open,False
30,31.Dec 2019 10:32:24,tao,15.58,17.35,15.03,0.9485,56.74,30000,-174.48008459640465,Open,False
31,31.Dec 2019 10:37:28,tao,15.57,17.37,15.05,0.9495,56.39,30000,-175.56304309274694,Open,False
32,31.Dec 2019 10:42:32,tao,15.65,17.4,15.23,0.9552,56.58,30000,0,Close,True
33,31.Dec 2019 10:47:46,tao,15.61,17.37,15.14,0.9526,56.65,30000,0,Close,True
34,31.Dec 2019 10:52:51,tao,15.66,17.4,15.18,0.9525,56.77,30000,0,Close,True
35,31.Dec 2019 10:57:59,tao,15.63,17.4,15.23,0.9559,56.59,30000,0,Close,True
36,31.Dec 2019 11:03:08,tao,15.67,17.45,15.32,0.9583,56.47,30000,0,Close,True
37,31.Dec 2019 11:08:21,tao,15.65,17.44,15.28,0.9572,56.11,30000,0,Close,True
38,31.Dec 2019 11:13:27,tao,15.65,17.41,15.25,0.9561,56.17,30000,0,Close,True
39,31.Dec 2019 11:18:33,tao,15.6,17.37,15.19,0.9553,56.04,30000,0,Close,True
40,31.Dec 2019 11:23:39,tao,15.55,17.35,15.16,0.9558,55.96,30000,0,Close,True
41,31.Dec 2019 11:28:47,tao,15.6,17.37,15.16,0.9539,56.01,30000,0,Close,True
42,31.Dec 2019 11:34:01,tao,15.56,17.36,15.16,0.9553,56.46,30000,0,Close,True
43,31.Dec 2019 11:39:08,tao,15.55,17.37,15.19,0.957,56.44,30000,0,Close,True
44,31.Dec 2019 11:44:14,tao,15.63,17.42,15.32,0.96,56.37,30000,0,Close,True
45,31.Dec 2019 11:49:20,tao,15.65,17.41,15.28,0.9575,55.91,30000,0,Close,True
46,31.Dec 2019 11:54:28,tao,15.65,17.41,15.27,0.9571,55.8,30000,0,Close,True
47,31.Dec 2019 11:59:44,tao,15.55,17.35,15.16,0.9558,55.94,30000,0,Close,True
