,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,11.Mar 2020 08:03:27,ruicheng,46.4,37.5,54.0,1.2176,216.86,30000,0,Close,True
1,11.Mar 2020 08:08:33,ruicheng,46.2,37.35,53.41,1.2153,216.86,30000,0,Close,True
2,11.Mar 2020 08:13:42,ruicheng,46.25,37.5,53.49,1.2127,216.86,30000,0,Close,True
3,11.Mar 2020 08:18:48,ruicheng,46.25,37.5,53.57,1.2132,216.86,30000,0,Close,True
4,11.Mar 2020 08:23:54,ruicheng,46.45,37.55,53.87,1.2163,216.86,30000,0,Close,True
5,11.Mar 2020 08:29:00,ruicheng,46.51,37.6,54.27,1.2182,216.86,30000,0,Close,True
6,11.Mar 2020 08:34:06,ruicheng,46.4,37.6,53.94,1.2149,216.86,30000,0,Close,True
7,11.Mar 2020 08:39:13,ruicheng,46.44,37.55,53.42,1.2136,216.86,30000,0,Close,True
8,11.Mar 2020 08:44:20,ruicheng,46.55,37.6,54.19,1.2182,216.86,30000,0,Close,True
9,11.Mar 2020 08:49:25,ruicheng,46.6,37.65,54.5,1.2194,216.86,30000,0,Close,True
10,11.Mar 2020 08:54:31,ruicheng,46.65,37.7,54.47,1.2187,257.29,30000,0,Close,True
11,11.Mar 2020 08:59:37,ruicheng,46.75,37.75,54.74,1.2203,257.29,30000,0,Close,True
12,11.Mar 2020 09:04:43,ruicheng,47.05,37.85,54.93,1.2228,257.29,30000,0,Close,True
13,11.Mar 2020 09:09:50,ruicheng,47.4,38.05,55.37,1.2249,259.45,30000,0,Close,True
14,11.Mar 2020 09:14:56,ruicheng,46.91,37.8,54.88,1.2219,259.45,30000,0,Close,True
15,11.Mar 2020 09:20:03,ruicheng,46.5,37.65,54.35,1.2173,263.39,30000,0,Close,True
16,11.Mar 2020 09:25:10,ruicheng,46.6,37.7,54.3,1.2171,265.01,30000,0,Close,True
17,11.Mar 2020 09:30:16,ruicheng,46.35,37.55,54.3,1.2175,251.08,30000,0,Close,True
18,11.Mar 2020 09:35:23,ruicheng,46.15,37.37,54.3,1.2193,251.71,30000,0,Close,True
19,11.Mar 2020 09:40:32,ruicheng,45.86,37.22,54.3,1.2192,254.52,30000,0,Close,True
20,11.Mar 2020 09:45:38,ruicheng,45.55,36.87,51.85,1.2094,254.5,30000,0,Close,True
21,11.Mar 2020 09:50:44,ruicheng,46.15,37.03,52.26,1.2158,253.9,30000,0,Close,True
22,11.Mar 2020 09:55:51,ruicheng,46.04,37.2,52.53,1.2117,249.73,30000,0,Close,True
23,11.Mar 2020 10:00:57,ruicheng,46.05,37.22,52.54,1.2114,253.0,30000,0,Close,True
24,11.Mar 2020 10:06:06,ruicheng,45.9,37.01,52.01,1.2115,250.0,30000,0,Close,True
25,11.Mar 2020 10:11:13,ruicheng,45.7,36.9,51.82,1.2105,250.4,30000,0,Close,True
26,11.Mar 2020 10:16:19,ruicheng,45.47,36.95,51.87,1.2065,248.96,30000,0,Close,True
27,11.Mar 2020 10:21:27,ruicheng,45.41,36.9,51.5,1.2048,250.0,30000,0,Close,True
28,11.Mar 2020 10:26:34,ruicheng,45.24,36.85,51.36,1.2029,251.24,30000,0,Close,True
29,11.Mar 2020 10:31:41,ruicheng,45.45,37.1,51.75,1.2019,254.48,30000,0,Close,True
30,11.Mar 2020 10:36:56,ruicheng,45.6,37.1,51.72,1.2037,250.66,30000,0,Close,True
31,11.Mar 2020 10:42:03,ruicheng,45.95,37.3,52.32,1.2069,251.2,30000,0,Close,True
32,11.Mar 2020 10:47:11,ruicheng,45.9,37.15,52.12,1.2087,251.14,30000,0,Close,True
33,11.Mar 2020 10:52:16,ruicheng,45.65,37.0,52.07,1.2088,253.32,30000,0,Close,True
34,11.Mar 2020 10:57:22,ruicheng,45.7,36.97,51.74,1.2083,254.96,30000,0,Close,True
35,11.Mar 2020 11:02:27,ruicheng,45.95,37.15,52.48,1.2115,253.0,30000,0,Close,True
36,11.Mar 2020 11:07:33,ruicheng,46.25,37.3,52.76,1.2134,255.52,30000,0,Close,True
37,11.Mar 2020 11:12:41,ruicheng,45.9,37.2,52.2,1.208,254.99,30000,0,Close,True
38,11.Mar 2020 11:17:48,ruicheng,46.2,37.35,52.7,1.2111,255.5,30000,0,Close,True
39,11.Mar 2020 11:22:55,ruicheng,46.05,37.35,52.35,1.2072,260.07,30000,0,Close,True
40,11.Mar 2020 11:28:02,ruicheng,46.05,37.4,52.68,1.2079,260.99,30000,0,Close,True
41,11.Mar 2020 11:33:07,ruicheng,46.55,37.8,53.25,1.208,259.98,30000,0,Close,True
42,11.Mar 2020 11:38:16,ruicheng,46.5,37.85,53.5,1.2076,256.51,30000,0,Close,True
43,11.Mar 2020 11:43:23,ruicheng,46.2,37.65,52.87,1.2049,257.0,30000,0,Close,True
44,11.Mar 2020 11:48:35,ruicheng,45.9,37.45,52.31,1.2026,255.72,30000,0,Close,True
45,11.Mar 2020 11:53:42,ruicheng,45.85,37.55,52.21,1.199,255.0,30000,0,Close,True
46,11.Mar 2020 11:58:48,ruicheng,45.65,37.5,52.28,1.198,254.22,30000,0,Close,True
47,11.Mar 2020 12:03:54,ruicheng,45.65,37.4,52.05,1.199,253.42,30000,0,Close,True
48,11.Mar 2020 12:09:01,ruicheng,45.65,37.4,51.99,1.1987,248.99,30000,0,Close,True
49,11.Mar 2020 12:14:07,ruicheng,45.65,37.3,51.86,1.2003,248.87,30000,0,Close,True
50,11.Mar 2020 12:19:13,ruicheng,44.97,37.01,51.03,1.1935,247.03,30000,0,Close,True
51,11.Mar 2020 12:24:21,ruicheng,44.85,37.0,50.53,1.1892,250.98,30000,0,Close,True
