,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,23.Jan 2020 08:23:58,ruicheng,15.35,15.85,13.37,0.8757,40.4,30000,-297.029702970297,Open,True
1,23.Jan 2020 08:29:09,ruicheng,15.38,15.86,13.36,0.8735,40.4,30000,-297.029702970297,Open,False
2,23.Jan 2020 08:34:14,ruicheng,15.4,15.86,13.4,0.875,40.4,30000,-297.029702970297,Open,False
3,23.Jan 2020 08:39:17,ruicheng,15.37,15.87,13.38,0.8753,40.4,30000,-297.029702970297,Open,False
4,23.Jan 2020 08:44:21,ruicheng,15.31,15.82,13.32,0.8747,40.4,30000,-297.029702970297,Open,False
5,23.Jan 2020 08:49:25,ruicheng,15.35,15.87,13.35,0.8744,40.4,30000,-297.029702970297,Open,False
6,23.Jan 2020 08:54:28,ruicheng,15.31,15.82,13.34,0.876,40.4,30000,-297.029702970297,Open,False
7,23.Jan 2020 08:59:32,ruicheng,15.35,15.85,13.31,0.872,41.41,30000,-289.7850760685825,Open,False
8,23.Jan 2020 09:04:36,ruicheng,15.35,15.9,13.34,0.8737,41.41,30000,-289.7850760685825,Open,False
9,23.Jan 2020 09:09:39,ruicheng,15.43,15.92,13.4,0.8733,41.4,30000,-289.8550724637681,Open,False
10,23.Jan 2020 09:14:43,ruicheng,15.35,15.85,13.38,0.8763,41.4,30000,-289.8550724637681,Open,False
11,23.Jan 2020 09:19:47,ruicheng,15.3,15.85,13.34,0.8764,41.62,30000,-288.32292167227297,Open,False
12,23.Jan 2020 09:24:50,ruicheng,15.4,15.9,13.48,0.8798,41.62,30000,-288.32292167227297,Open,False
13,23.Jan 2020 09:29:54,ruicheng,15.38,15.87,13.49,0.8815,41.64,30000,-288.1844380403458,Open,False
14,23.Jan 2020 09:34:58,ruicheng,15.36,15.87,13.49,0.8826,42.32,30000,-283.5538752362949,Open,False
15,23.Jan 2020 09:40:02,ruicheng,15.36,15.87,13.49,0.8826,42.74,30000,-280.76743097800653,Open,False
16,23.Jan 2020 09:45:06,ruicheng,15.52,15.97,13.9,0.8993,42.79,30000,-280.43935498948355,Open,False
17,23.Jan 2020 09:50:09,ruicheng,15.55,16.0,13.98,0.9025,42.55,30000,-232.6674500587544,Open,False
18,23.Jan 2020 09:55:13,ruicheng,15.52,16.0,14.0,0.9053,42.37,30000,-233.65588860042484,Open,False
19,23.Jan 2020 10:00:17,ruicheng,15.5,15.98,13.92,0.9015,41.86,30000,-236.50262780697562,Open,False
20,23.Jan 2020 10:05:20,ruicheng,15.49,15.96,13.9,0.9009,42.01,30000,-235.6581766246132,Open,False
21,23.Jan 2020 10:10:24,ruicheng,15.4,15.87,13.7,0.8935,41.41,30000,-289.7850760685825,Open,False
22,23.Jan 2020 10:15:28,ruicheng,15.45,15.9,13.73,0.8927,41.49,30000,-289.2263195950831,Open,False
23,23.Jan 2020 10:20:32,ruicheng,15.35,15.8,13.5,0.8839,41.76,30000,-287.35632183908046,Open,False
24,23.Jan 2020 10:25:36,ruicheng,15.3,15.8,13.49,0.8859,41.89,30000,-286.464550011936,Open,False
25,23.Jan 2020 10:30:40,ruicheng,15.31,15.8,13.53,0.8878,41.48,30000,-289.2960462873674,Open,False
26,23.Jan 2020 10:35:44,ruicheng,15.4,15.85,13.63,0.8892,40.97,30000,-292.8972418843056,Open,False
27,23.Jan 2020 10:40:48,ruicheng,15.3,15.75,13.63,0.8947,41.29,30000,-290.627270525551,Open,False
28,23.Jan 2020 10:45:51,ruicheng,15.2,15.73,13.3,0.8794,41.63,30000,-288.2536632236368,Open,False
29,23.Jan 2020 10:50:55,ruicheng,15.25,15.73,13.41,0.8837,41.87,30000,-286.60138524002866,Open,False
30,23.Jan 2020 10:55:59,ruicheng,15.35,15.82,13.48,0.8826,42.01,30000,-285.6462746965008,Open,False
