,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,15.Jan 2020 08:04:38,ruicheng,13.0,15.13,12.43,0.8818,41.52,30000,-289.0173410404624,Open,True
1,15.Jan 2020 08:09:54,ruicheng,13.01,15.2,12.47,0.8798,41.52,30000,-289.0173410404624,Open,False
2,15.Jan 2020 08:14:57,ruicheng,13.0,15.2,12.08,0.8725,41.52,30000,-289.0173410404624,Open,False
3,15.Jan 2020 08:20:01,ruicheng,13.0,15.17,12.14,0.8749,41.52,30000,-289.0173410404624,Open,False
4,15.Jan 2020 08:25:05,ruicheng,13.01,15.17,12.32,0.8784,41.52,30000,-289.0173410404624,Open,False
5,15.Jan 2020 08:30:09,ruicheng,13.01,15.15,12.35,0.8798,41.52,30000,-289.0173410404624,Open,False
6,15.Jan 2020 08:35:12,ruicheng,13.0,15.15,12.54,0.8829,41.52,30000,-289.0173410404624,Open,False
7,15.Jan 2020 08:40:16,ruicheng,13.0,15.2,12.51,0.8802,41.52,30000,-289.0173410404624,Open,False
8,15.Jan 2020 08:45:28,ruicheng,13.05,15.22,12.57,0.8821,41.52,30000,-289.0173410404624,Open,False
9,15.Jan 2020 08:50:32,ruicheng,13.05,15.27,12.68,0.8819,41.52,30000,-289.0173410404624,Open,False
10,15.Jan 2020 08:55:35,ruicheng,13.13,15.26,12.7,0.8853,41.37,30000,-290.06526468455405,Open,False
11,15.Jan 2020 09:00:38,ruicheng,13.16,15.27,12.75,0.8867,41.37,30000,-290.06526468455405,Open,False
12,15.Jan 2020 09:05:42,ruicheng,13.16,15.28,12.81,0.8874,41.37,30000,-290.06526468455405,Open,False
13,15.Jan 2020 09:10:46,ruicheng,13.2,15.3,12.59,0.8839,41.59,30000,-288.53089685020433,Open,False
14,15.Jan 2020 09:15:49,ruicheng,13.15,15.25,12.75,0.8873,41.71,30000,-287.70079117717574,Open,False
15,15.Jan 2020 09:20:53,ruicheng,13.13,15.26,12.75,0.8862,41.71,30000,-287.70079117717574,Open,False
16,15.Jan 2020 09:25:57,ruicheng,13.11,15.25,12.73,0.8856,41.56,30000,-288.73917228103943,Open,False
17,15.Jan 2020 09:31:00,ruicheng,13.1,15.23,12.73,0.8861,41.37,30000,-290.06526468455405,Open,False
18,15.Jan 2020 09:36:04,ruicheng,13.15,15.23,12.73,0.8878,40.74,30000,-294.5508100147275,Open,False
19,15.Jan 2020 09:41:08,ruicheng,13.05,15.24,12.61,0.8819,40.88,30000,-293.5420743639921,Open,False
20,15.Jan 2020 09:46:11,ruicheng,12.93,15.13,12.38,0.8786,41.01,30000,-292.6115581565472,Open,False
21,15.Jan 2020 09:51:15,ruicheng,12.95,15.16,12.39,0.8781,40.9,30000,-293.39853300733495,Open,False
22,15.Jan 2020 09:56:19,ruicheng,12.93,15.17,12.46,0.8783,40.87,30000,-293.6138977244923,Open,False
23,15.Jan 2020 10:01:22,ruicheng,13.02,15.13,12.37,0.8814,40.84,30000,-293.8295788442703,Open,False
24,15.Jan 2020 10:06:27,ruicheng,12.88,15.16,12.39,0.8758,41.0,30000,-292.6829268292683,Open,False
25,15.Jan 2020 10:11:31,ruicheng,12.9,15.14,12.41,0.8777,40.9,30000,-293.39853300733495,Open,False
26,15.Jan 2020 10:16:35,ruicheng,12.95,15.17,12.47,0.8791,40.99,30000,-292.7543303244694,Open,False
27,15.Jan 2020 10:21:38,ruicheng,12.95,15.15,12.43,0.8793,41.12,30000,-291.8287937743191,Open,False
28,15.Jan 2020 10:26:42,ruicheng,12.92,15.17,12.45,0.8778,41.05,30000,-292.326431181486,Open,False
29,15.Jan 2020 10:31:45,ruicheng,13.0,15.18,12.43,0.8796,40.86,30000,-293.68575624082234,Open,False
30,15.Jan 2020 10:36:49,ruicheng,12.93,15.17,12.45,0.8781,40.77,30000,-294.33406916850623,Open,False
31,15.Jan 2020 10:41:53,ruicheng,12.91,15.17,12.41,0.8767,40.84,30000,-293.8295788442703,Open,False
32,15.Jan 2020 10:46:56,ruicheng,12.9,15.13,12.29,0.8759,40.7,30000,-294.8402948402948,Open,False
33,15.Jan 2020 10:52:00,ruicheng,12.86,15.13,12.28,0.8744,40.73,30000,-294.6231279155414,Open,False
34,15.Jan 2020 10:57:05,ruicheng,12.83,15.12,12.22,0.8727,40.69,30000,-294.91275497665276,Open,False
35,15.Jan 2020 11:02:08,ruicheng,12.82,15.13,12.26,0.8727,40.85,30000,-293.75764993880045,Open,False
36,15.Jan 2020 11:07:12,ruicheng,12.82,15.12,12.26,0.8731,40.91,30000,-293.3268149596676,Open,False
37,15.Jan 2020 11:12:16,ruicheng,12.85,15.13,12.33,0.875,41.28,30000,-290.69767441860466,Open,False
38,15.Jan 2020 11:17:21,ruicheng,12.91,15.15,12.4,0.8774,41.0,30000,-292.6829268292683,Open,False
39,15.Jan 2020 11:22:25,ruicheng,12.98,15.22,12.6,0.8803,40.96,30000,-292.96875,Open,False
40,15.Jan 2020 11:27:29,ruicheng,12.92,15.15,12.49,0.8793,41.04,30000,-292.39766081871346,Open,False
41,15.Jan 2020 11:32:32,ruicheng,12.93,15.17,12.53,0.8795,41.13,30000,-291.75784099197665,Open,False
42,15.Jan 2020 11:37:36,ruicheng,12.93,15.18,12.55,0.8795,41.1,30000,-291.97080291970804,Open,False
43,15.Jan 2020 11:42:39,ruicheng,12.96,15.18,12.55,0.8804,41.08,30000,-292.1129503407985,Open,False
44,15.Jan 2020 11:47:43,ruicheng,12.93,15.18,12.51,0.8787,41.08,30000,-292.1129503407985,Open,False
45,15.Jan 2020 11:52:47,ruicheng,12.95,15.18,12.48,0.8789,41.08,30000,-292.1129503407985,Open,False
46,15.Jan 2020 11:57:51,ruicheng,12.92,15.17,12.53,0.8792,41.2,30000,-291.26213592233006,Open,False
47,15.Jan 2020 12:02:55,ruicheng,12.92,15.17,12.5,0.8787,41.2,30000,-291.26213592233006,Open,False
48,15.Jan 2020 12:07:59,ruicheng,12.97,15.22,12.58,0.8796,41.2,30000,-291.26213592233006,Open,False
49,15.Jan 2020 12:13:03,ruicheng,12.96,15.2,12.58,0.8801,40.79,30000,-294.18975239029174,Open,False
50,15.Jan 2020 12:18:09,ruicheng,12.97,15.22,12.54,0.8789,40.83,30000,-293.9015429831007,Open,False
51,15.Jan 2020 12:23:13,ruicheng,12.92,15.17,12.4,0.8769,40.76,30000,-294.4062806673209,Open,False
52,15.Jan 2020 12:28:18,ruicheng,12.93,15.15,12.45,0.8789,40.8,30000,-294.11764705882354,Open,False
53,15.Jan 2020 12:33:22,ruicheng,12.86,15.13,12.44,0.8773,40.83,30000,-293.9015429831007,Open,False
54,15.Jan 2020 12:38:26,ruicheng,12.85,15.15,12.47,0.8767,40.77,30000,-294.33406916850623,Open,False
55,15.Jan 2020 12:43:30,ruicheng,12.89,15.15,12.49,0.8783,40.8,30000,-294.11764705882354,Open,False
56,15.Jan 2020 12:48:34,ruicheng,12.89,15.12,12.47,0.8793,40.96,30000,-292.96875,Open,False
57,15.Jan 2020 12:53:38,ruicheng,12.86,15.15,12.43,0.8763,41.39,30000,-289.9251026818072,Open,False
58,15.Jan 2020 12:58:42,ruicheng,12.9,15.17,12.49,0.8778,41.33,30000,-290.3459956448101,Open,False
59,15.Jan 2020 13:03:45,ruicheng,13.0,15.22,12.66,0.882,41.21,30000,-291.1914583838874,Open,False
60,15.Jan 2020 13:08:52,ruicheng,13.05,15.23,12.71,0.8841,41.31,30000,-290.4865649963689,Open,False
61,15.Jan 2020 13:13:57,ruicheng,12.95,15.21,12.67,0.881,41.4,30000,-289.8550724637681,Open,False
62,15.Jan 2020 13:19:03,ruicheng,13.01,15.23,12.74,0.8834,41.34,30000,-290.27576197387515,Open,False
63,15.Jan 2020 13:24:11,ruicheng,13.02,15.2,12.72,0.8846,41.49,30000,-289.2263195950831,Open,False
64,15.Jan 2020 13:29:18,ruicheng,13.02,15.21,12.62,0.8824,41.2,30000,-291.26213592233006,Open,False
65,15.Jan 2020 13:34:23,ruicheng,13.05,15.23,12.67,0.8834,41.32,30000,-290.4162633107454,Open,False
66,15.Jan 2020 13:39:31,ruicheng,12.96,15.22,12.59,0.8794,41.07,30000,-292.18407596785977,Open,False
