,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,20.Dec 2019 09:34:58,tao,14.52,16.2,12.13,0.8396,49.78,30000,-241.06066693451186,Open,True
1,20.Dec 2019 09:40:04,tao,14.51,16.18,12.13,0.8401,50.04,30000,-239.80815347721824,Open,False
2,20.Dec 2019 09:45:08,tao,14.6,16.23,12.15,0.8368,50.01,30000,-239.9520095980804,Open,False
3,20.Dec 2019 09:50:12,tao,14.61,16.23,12.2,0.8395,49.56,30000,-242.13075060532685,Open,False
4,20.Dec 2019 09:55:17,tao,14.65,16.22,12.24,0.8401,49.85,30000,-240.72216649949848,Open,False
5,20.Dec 2019 10:00:17,tao,14.55,16.17,12.16,0.8401,49.88,30000,-240.57738572574178,Open,False
6,20.Dec 2019 10:05:21,tao,14.58,16.22,12.15,0.8378,49.5,30000,-242.42424242424244,Open,False
7,20.Dec 2019 10:10:26,tao,14.55,16.2,12.15,0.8394,49.84,30000,-240.7704654895666,Open,False
8,20.Dec 2019 10:15:30,tao,14.55,16.17,12.11,0.8369,50.0,30000,-240.0,Open,False
9,20.Dec 2019 10:20:34,tao,14.58,16.22,12.18,0.8397,50.1,30000,-239.52095808383234,Open,False
10,20.Dec 2019 10:25:38,tao,14.65,16.23,12.24,0.8401,49.99,30000,-240.04800960192037,Open,False
11,20.Dec 2019 10:30:42,tao,14.6,16.23,12.28,0.8451,49.96,30000,-240.1921537229784,Open,False
12,20.Dec 2019 10:35:47,tao,14.61,16.2,12.28,0.8447,49.88,30000,-240.57738572574178,Open,False
13,20.Dec 2019 10:40:51,tao,14.6,16.23,12.29,0.8457,49.94,30000,-240.28834601521828,Open,False
14,20.Dec 2019 10:45:55,tao,14.58,16.2,12.3,0.8475,49.74,30000,-241.25452352231602,Open,False
15,20.Dec 2019 10:50:59,tao,14.6,16.23,12.32,0.8477,49.79,30000,-241.01225145611568,Open,False
16,20.Dec 2019 10:56:03,tao,14.55,16.2,12.27,0.8471,49.78,30000,-241.06066693451186,Open,False
17,20.Dec 2019 11:01:07,tao,14.6,16.22,12.26,0.8439,49.59,30000,-241.98427102238352,Open,False
18,20.Dec 2019 11:06:14,tao,14.55,16.22,12.25,0.8457,49.52,30000,-242.32633279483036,Open,False
19,20.Dec 2019 11:11:21,tao,14.55,16.17,12.2,0.8427,49.44,30000,-242.71844660194176,Open,False
20,20.Dec 2019 11:16:29,tao,14.51,16.17,12.19,0.844,49.64,30000,-241.74053182917,Open,False
21,20.Dec 2019 11:21:35,tao,14.55,16.15,12.15,0.8396,49.61,30000,-241.88671638782503,Open,False
22,20.Dec 2019 11:26:40,tao,14.55,16.2,12.15,0.8394,49.69,30000,-241.4972831555645,Open,False
23,20.Dec 2019 11:31:47,tao,14.55,16.22,12.1,0.8361,49.51,30000,-242.3752777216724,Open,False
