,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,23.Dec 2019 08:04:56,ruicheng,14.65,16.3,12.61,0.8634,50.61,30000,-237.10729104919977,Open,True
1,23.Dec 2019 08:10:02,ruicheng,14.7,16.35,12.61,0.8607,50.61,30000,-237.10729104919977,Open,False
2,23.Dec 2019 08:15:06,ruicheng,14.65,16.28,12.61,0.8634,50.61,30000,-237.10729104919977,Open,False
3,23.Dec 2019 08:20:09,ruicheng,14.65,16.3,12.61,0.8634,50.61,30000,-237.10729104919977,Open,False
4,23.Dec 2019 08:25:13,ruicheng,14.65,16.3,12.59,0.8621,50.61,30000,-237.10729104919977,Open,False
5,23.Dec 2019 08:30:17,ruicheng,14.65,16.31,12.6,0.8627,50.61,30000,-237.10729104919977,Open,False
6,23.Dec 2019 08:35:21,ruicheng,14.65,16.31,12.58,0.8614,50.61,30000,-237.10729104919977,Open,False
7,23.Dec 2019 08:40:25,ruicheng,14.65,16.35,12.53,0.8581,50.61,30000,-237.10729104919977,Open,False
8,23.Dec 2019 08:45:29,ruicheng,14.65,16.3,12.57,0.8608,50.61,30000,-237.10729104919977,Open,False
9,23.Dec 2019 08:50:32,ruicheng,14.65,16.3,12.55,0.8595,50.61,30000,-237.10729104919977,Open,False
10,23.Dec 2019 08:55:36,ruicheng,14.65,16.3,12.53,0.8583,50.0,30000,-240.0,Open,False
11,23.Dec 2019 09:00:40,ruicheng,14.75,16.34,12.56,0.855,50.0,30000,-240.0,Open,False
12,23.Dec 2019 09:05:44,ruicheng,14.73,16.36,12.59,0.8578,49.92,30000,-240.3846153846154,Open,False
13,23.Dec 2019 09:10:48,ruicheng,14.75,16.36,12.61,0.8581,49.92,30000,-240.3846153846154,Open,False
14,23.Dec 2019 09:15:52,ruicheng,14.75,16.35,12.41,0.8455,50.24,30000,-238.85350318471336,Open,False
15,23.Dec 2019 09:20:56,ruicheng,14.73,16.36,12.56,0.856,50.24,30000,-238.85350318471336,Open,False
16,23.Dec 2019 09:26:00,ruicheng,14.75,16.38,12.63,0.8593,50.5,30000,-237.62376237623764,Open,False
17,23.Dec 2019 09:31:04,ruicheng,14.75,16.36,12.63,0.8594,50.69,30000,-236.73308344841192,Open,False
18,23.Dec 2019 09:36:08,ruicheng,14.7,16.36,12.63,0.8619,50.6,30000,-237.15415019762844,Open,False
19,23.Dec 2019 09:41:11,ruicheng,14.76,16.35,12.7,0.8633,50.64,30000,-236.96682464454977,Open,False
20,23.Dec 2019 09:46:15,ruicheng,14.76,16.38,12.66,0.8607,50.88,30000,-235.84905660377356,Open,False
21,23.Dec 2019 09:51:18,ruicheng,14.73,16.37,12.78,0.8698,50.79,30000,-236.26698168930892,Open,False
22,23.Dec 2019 09:56:22,ruicheng,14.77,16.39,12.86,0.8728,50.79,30000,-236.26698168930892,Open,False
23,23.Dec 2019 10:01:27,ruicheng,14.75,16.39,12.82,0.8713,50.89,30000,-235.8027117311849,Open,False
24,23.Dec 2019 10:06:32,ruicheng,14.75,16.42,12.85,0.873,50.89,30000,-235.8027117311849,Open,False
25,23.Dec 2019 10:11:37,ruicheng,14.8,16.4,12.82,0.8687,50.9,30000,-235.75638506876228,Open,False
26,23.Dec 2019 10:16:44,ruicheng,14.76,16.4,12.87,0.8739,50.89,30000,-235.8027117311849,Open,False
27,23.Dec 2019 10:21:48,ruicheng,14.76,16.42,12.86,0.8732,50.83,30000,-236.08105449537675,Open,False
28,23.Dec 2019 10:26:54,ruicheng,14.75,16.4,12.84,0.8725,50.87,30000,-235.89541969726756,Open,False
29,23.Dec 2019 10:31:59,ruicheng,14.75,16.4,12.81,0.8706,50.9,30000,-235.75638506876228,Open,False
30,23.Dec 2019 10:37:04,ruicheng,14.8,16.42,12.86,0.8711,50.99,30000,-235.34026279662677,Open,False
31,23.Dec 2019 10:42:11,ruicheng,14.76,16.42,12.89,0.8751,50.93,30000,-235.61751423522483,Open,False
32,23.Dec 2019 10:47:16,ruicheng,14.76,16.43,12.87,0.8738,50.81,30000,-236.17398149970478,Open,False
33,23.Dec 2019 10:52:21,ruicheng,14.76,16.43,12.83,0.8712,50.8,30000,-236.2204724409449,Open,False
34,23.Dec 2019 10:57:26,ruicheng,14.76,16.42,12.8,0.8694,50.72,30000,-236.59305993690853,Open,False
35,23.Dec 2019 11:02:32,ruicheng,14.75,16.45,12.78,0.8685,50.88,30000,-235.84905660377356,Open,False
36,23.Dec 2019 11:07:36,ruicheng,14.75,16.4,12.76,0.8674,50.86,30000,-235.94180102241447,Open,False
37,23.Dec 2019 11:12:41,ruicheng,14.76,16.43,12.71,0.8637,51.0,30000,-235.2941176470588,Open,False
38,23.Dec 2019 11:17:49,ruicheng,14.76,16.45,12.7,0.863,51.0,30000,-235.2941176470588,Open,False
39,23.Dec 2019 11:22:54,ruicheng,14.8,16.46,12.73,0.8628,50.98,30000,-235.38642604943115,Open,False
40,23.Dec 2019 11:28:00,ruicheng,14.75,16.45,12.72,0.8647,51.02,30000,-235.2018816150529,Open,False
41,23.Dec 2019 11:33:05,ruicheng,14.78,16.45,12.69,0.8613,51.0,30000,-235.2941176470588,Open,False
42,23.Dec 2019 11:38:11,ruicheng,14.75,16.47,12.66,0.8609,51.2,30000,-234.375,Open,False
43,23.Dec 2019 11:43:17,ruicheng,14.8,16.47,12.65,0.8577,51.24,30000,-234.19203747072598,Open,False
44,23.Dec 2019 11:48:23,ruicheng,14.79,16.47,12.69,0.8608,51.17,30000,-234.51240961500878,Open,False
45,23.Dec 2019 11:53:30,ruicheng,14.81,16.48,12.71,0.861,51.19,30000,-234.4207853096308,Open,False
46,23.Dec 2019 11:58:35,ruicheng,14.8,16.48,12.69,0.8602,51.12,30000,-234.7417840375587,Open,False
47,23.Dec 2019 12:03:40,ruicheng,14.85,16.47,12.7,0.8584,51.07,30000,-234.9716075974153,Open,False
48,23.Dec 2019 12:08:46,ruicheng,14.78,16.46,12.67,0.86,51.1,30000,-234.83365949119374,Open,False
49,23.Dec 2019 12:13:51,ruicheng,14.78,16.46,12.66,0.8594,51.15,30000,-234.60410557184753,Open,False
50,23.Dec 2019 12:19:06,ruicheng,14.8,16.46,12.66,0.8584,51.21,30000,-234.32923257176333,Open,False
51,23.Dec 2019 12:24:11,ruicheng,14.78,16.46,12.67,0.86,51.17,30000,-234.51240961500878,Open,False
52,23.Dec 2019 12:29:16,ruicheng,14.8,16.48,12.69,0.8602,51.26,30000,-234.10066328521265,Open,False
53,23.Dec 2019 12:34:20,ruicheng,14.85,16.46,12.7,0.8584,50.99,30000,-235.34026279662677,Open,False
54,23.Dec 2019 12:39:25,ruicheng,14.81,16.48,12.68,0.8591,51.0,30000,-235.2941176470588,Open,False
55,23.Dec 2019 12:44:29,ruicheng,14.76,16.46,12.65,0.8598,50.97,30000,-235.43260741612713,Open,False
56,23.Dec 2019 12:49:33,ruicheng,14.8,16.45,12.65,0.8578,51.0,30000,-235.2941176470588,Open,False
57,23.Dec 2019 12:54:38,ruicheng,14.78,16.47,12.68,0.8606,51.04,30000,-235.10971786833855,Open,False
58,23.Dec 2019 12:59:44,ruicheng,14.8,16.45,12.69,0.8603,51.01,30000,-235.24799059008038,Open,False
59,23.Dec 2019 13:04:48,ruicheng,14.78,16.5,12.71,0.8624,50.94,30000,-235.57126030624264,Open,False
60,23.Dec 2019 13:09:52,ruicheng,14.75,16.46,12.69,0.8628,50.92,30000,-235.66378633150038,Open,False
61,23.Dec 2019 13:14:56,ruicheng,14.78,16.46,12.67,0.86,50.86,30000,-235.94180102241447,Open,False
62,23.Dec 2019 13:20:00,ruicheng,14.78,16.47,12.68,0.8606,50.87,30000,-235.89541969726756,Open,False
63,23.Dec 2019 13:25:04,ruicheng,14.75,16.45,12.68,0.8622,50.87,30000,-235.89541969726756,Open,False
64,23.Dec 2019 13:30:08,ruicheng,14.77,16.47,12.68,0.8611,50.88,30000,-235.84905660377356,Open,False
65,23.Dec 2019 13:35:12,ruicheng,14.76,16.47,12.71,0.8635,50.93,30000,-235.61751423522483,Open,False
66,23.Dec 2019 13:40:16,ruicheng,14.76,16.45,12.72,0.8642,51.01,30000,-235.24799059008038,Open,False
67,23.Dec 2019 13:45:20,ruicheng,14.76,16.45,12.74,0.8655,50.99,30000,-235.34026279662677,Open,False
68,23.Dec 2019 13:50:23,ruicheng,14.76,16.47,12.78,0.8679,50.95,30000,-235.5250245338567,Open,False
69,23.Dec 2019 13:55:28,ruicheng,14.76,16.48,12.76,0.8666,50.94,30000,-235.57126030624264,Open,False
70,23.Dec 2019 14:00:32,ruicheng,14.75,16.45,12.75,0.8666,50.93,30000,-235.61751423522483,Open,False
71,23.Dec 2019 14:05:36,ruicheng,14.76,16.48,12.71,0.8635,50.78,30000,-236.31350925561244,Open,False
72,23.Dec 2019 14:10:41,ruicheng,14.75,16.48,12.69,0.8627,50.93,30000,-235.61751423522483,Open,False
73,23.Dec 2019 14:15:45,ruicheng,14.7,16.46,12.68,0.8647,50.94,30000,-235.57126030624264,Open,False
74,23.Dec 2019 14:20:50,ruicheng,14.76,16.48,12.72,0.8641,51.09,30000,-234.87962419260128,Open,False
75,23.Dec 2019 14:25:54,ruicheng,14.76,16.45,12.73,0.8649,51.12,30000,-234.7417840375587,Open,False
76,23.Dec 2019 14:30:58,ruicheng,14.76,16.48,12.74,0.8654,50.88,30000,-235.84905660377356,Open,False
77,23.Dec 2019 14:36:03,ruicheng,14.78,16.51,12.74,0.8643,50.83,30000,-236.08105449537675,Open,False
78,23.Dec 2019 14:41:08,ruicheng,14.75,16.49,12.72,0.8646,50.93,30000,-235.61751423522483,Open,False
79,23.Dec 2019 14:46:13,ruicheng,14.75,16.48,12.75,0.8665,50.9,30000,-235.75638506876228,Open,False
80,23.Dec 2019 14:51:26,ruicheng,14.75,16.49,12.72,0.8646,50.84,30000,-236.03461841070023,Open,False
81,23.Dec 2019 14:56:30,ruicheng,14.72,16.47,12.72,0.8662,50.92,30000,-235.66378633150038,Open,False
82,23.Dec 2019 15:01:35,ruicheng,14.8,16.48,12.73,0.8627,50.97,30000,-235.43260741612713,Open,False
83,23.Dec 2019 15:06:39,ruicheng,14.75,16.48,12.73,0.8652,50.97,30000,-235.43260741612713,Open,False
84,23.Dec 2019 15:11:44,ruicheng,14.76,16.48,12.73,0.8647,50.97,30000,-235.43260741612713,Open,False
85,23.Dec 2019 15:16:48,ruicheng,14.76,16.48,12.7,0.8628,50.95,30000,-235.5250245338567,Open,False
86,23.Dec 2019 15:21:53,ruicheng,14.75,16.49,12.69,0.8627,50.99,30000,-235.34026279662677,Open,False
87,23.Dec 2019 15:26:57,ruicheng,14.75,16.48,12.7,0.8633,51.11,30000,-234.7877127763647,Open,False
88,23.Dec 2019 15:32:02,ruicheng,14.8,16.52,12.73,0.8626,50.97,30000,-235.43260741612713,Open,False
89,23.Dec 2019 15:37:10,ruicheng,14.81,16.52,12.69,0.8596,51.08,30000,-234.92560689115115,Open,False
90,23.Dec 2019 15:42:14,ruicheng,14.75,16.48,12.68,0.8621,51.14,30000,-234.64998044583496,Open,False
