,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,10.Dec 2019 08:01:54,ruicheng,16.05,17.32,16.43,0.9555,70.15,30000,0,Close,True
1,10.Dec 2019 08:07:17,ruicheng,16.05,17.35,16.47,0.9551,70.15,30000,0,Close,True
2,10.Dec 2019 08:12:33,ruicheng,16.08,17.35,16.38,0.9541,70.15,30000,0,Close,True
3,10.Dec 2019 08:17:52,ruicheng,16.05,17.35,16.45,0.9547,70.15,30000,0,Close,True
4,10.Dec 2019 08:23:09,ruicheng,16.05,17.35,16.34,0.9527,70.15,30000,0,Close,True
5,10.Dec 2019 08:28:27,ruicheng,16.0,17.3,16.27,0.9522,70.15,30000,0,Close,True
6,10.Dec 2019 08:33:45,ruicheng,15.95,17.31,16.24,0.9501,70.15,30000,0,Close,True
7,10.Dec 2019 08:39:04,ruicheng,15.8,17.2,16.04,0.9473,70.15,30000,-141.12615823235922,Open,True
8,10.Dec 2019 08:44:24,ruicheng,15.5,17.03,15.75,0.9416,70.15,30000,-141.12615823235922,Open,False
9,10.Dec 2019 08:49:29,ruicheng,15.25,16.85,15.05,0.9293,70.15,30000,-141.12615823235922,Open,False
10,10.Dec 2019 08:54:34,ruicheng,15.2,16.8,15.03,0.9297,70.15,30000,-141.12615823235922,Open,False
11,10.Dec 2019 08:59:40,ruicheng,15.25,16.78,15.36,0.938,70.11,30000,-141.20667522464697,Open,False
12,10.Dec 2019 09:04:45,ruicheng,15.2,16.8,15.31,0.9352,68.14,30000,-145.28911065453477,Open,False
13,10.Dec 2019 09:09:50,ruicheng,15.4,16.88,15.47,0.9397,68.14,30000,-145.28911065453477,Open,False
14,10.Dec 2019 09:14:56,ruicheng,15.4,16.93,15.52,0.9388,68.15,30000,-145.26779163609683,Open,False
15,10.Dec 2019 09:20:05,ruicheng,15.41,16.93,15.55,0.9396,68.15,30000,-145.26779163609683,Open,False
16,10.Dec 2019 09:25:11,ruicheng,15.4,16.94,15.52,0.9384,69.46,30000,-142.52807371148864,Open,False
17,10.Dec 2019 09:30:18,ruicheng,15.35,16.95,15.52,0.9369,69.46,30000,-142.52807371148864,Open,False
18,10.Dec 2019 09:35:23,ruicheng,15.4,16.92,15.52,0.9391,71.15,30000,-139.14265635980323,Open,False
19,10.Dec 2019 09:40:27,ruicheng,15.53,17.02,15.52,0.9382,72.73,30000,-136.1198955039186,Open,False
20,10.Dec 2019 09:45:32,ruicheng,15.62,17.07,15.95,0.9465,71.54,30000,-138.3841207715963,Open,False
21,10.Dec 2019 09:50:36,ruicheng,15.86,17.28,16.51,0.9544,70.74,30000,0,Close,True
22,10.Dec 2019 09:55:52,ruicheng,15.72,17.11,16.25,0.9529,70.11,30000,0,Close,True
23,10.Dec 2019 10:01:07,ruicheng,15.61,17.03,16.18,0.9522,69.63,30000,0,Close,True
24,10.Dec 2019 10:06:23,ruicheng,15.55,16.95,15.98,0.9501,69.54,30000,0,Close,True
25,10.Dec 2019 10:11:39,ruicheng,15.48,16.92,15.95,0.9492,69.43,30000,-142.58965864899898,Open,False
26,10.Dec 2019 10:16:45,ruicheng,15.46,16.92,15.94,0.9485,68.86,30000,-143.7699680511182,Open,False
27,10.Dec 2019 10:21:49,ruicheng,15.44,16.95,15.9,0.9462,68.67,30000,-144.16775884665793,Open,False
28,10.Dec 2019 10:26:53,ruicheng,15.4,16.83,15.81,0.9481,68.01,30000,-145.5668284075871,Open,False
29,10.Dec 2019 10:31:58,ruicheng,15.36,16.85,15.73,0.945,68.03,30000,-145.5240335146259,Open,False
30,10.Dec 2019 10:37:03,ruicheng,15.2,16.74,15.54,0.9419,68.08,30000,-145.4171562867215,Open,False
31,10.Dec 2019 10:42:07,ruicheng,15.26,16.75,15.51,0.9423,68.0,30000,-145.58823529411765,Open,False
32,10.Dec 2019 10:47:11,ruicheng,15.21,16.78,15.55,0.9408,68.2,30000,-145.16129032258064,Open,False
33,10.Dec 2019 10:52:16,ruicheng,15.21,16.76,15.48,0.9402,68.8,30000,-143.8953488372093,Open,False
34,10.Dec 2019 10:57:20,ruicheng,15.21,16.77,15.5,0.9402,68.63,30000,-144.25178493370248,Open,False
35,10.Dec 2019 11:02:24,ruicheng,15.3,16.82,15.6,0.9423,68.77,30000,-143.95812127381126,Open,False
36,10.Dec 2019 11:07:29,ruicheng,15.25,16.83,15.57,0.9402,69.37,30000,-142.71298832348276,Open,False
