,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,15.Feb 2020 08:01:32,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,True
1,15.Feb 2020 08:06:38,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
2,15.Feb 2020 08:11:42,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
3,15.Feb 2020 08:16:46,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
4,15.Feb 2020 08:21:50,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
5,15.Feb 2020 08:26:54,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
6,15.Feb 2020 08:31:58,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
7,15.Feb 2020 08:37:03,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
8,15.Feb 2020 08:42:07,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
9,15.Feb 2020 08:47:11,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
10,15.Feb 2020 08:52:15,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
11,15.Feb 2020 08:57:18,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
12,15.Feb 2020 09:02:23,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
13,15.Feb 2020 09:07:27,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
14,15.Feb 2020 09:12:31,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
15,15.Feb 2020 09:17:36,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
16,15.Feb 2020 09:22:39,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
17,15.Feb 2020 09:27:44,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
18,15.Feb 2020 09:32:49,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
19,15.Feb 2020 09:37:53,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
20,15.Feb 2020 09:42:57,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
21,15.Feb 2020 09:48:02,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
22,15.Feb 2020 09:53:06,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
23,15.Feb 2020 09:58:09,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
24,15.Feb 2020 10:03:13,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
25,15.Feb 2020 10:08:18,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
26,15.Feb 2020 10:13:22,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
27,15.Feb 2020 10:18:25,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
28,15.Feb 2020 10:23:29,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
29,15.Feb 2020 10:28:34,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
30,15.Feb 2020 10:33:38,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
31,15.Feb 2020 10:38:43,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
32,15.Feb 2020 10:43:47,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
33,15.Feb 2020 10:48:51,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
34,15.Feb 2020 10:53:54,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
35,15.Feb 2020 10:58:58,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
36,15.Feb 2020 11:04:03,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
37,15.Feb 2020 11:09:07,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
38,15.Feb 2020 11:14:11,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
39,15.Feb 2020 11:19:15,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
40,15.Feb 2020 11:24:19,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
41,15.Feb 2020 11:29:24,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
42,15.Feb 2020 11:34:28,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
43,15.Feb 2020 11:39:32,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
44,15.Feb 2020 11:44:36,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
45,15.Feb 2020 11:49:40,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
46,15.Feb 2020 11:54:44,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
47,15.Feb 2020 11:59:48,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
48,15.Feb 2020 12:04:52,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
49,15.Feb 2020 12:09:57,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
50,15.Feb 2020 12:15:01,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
51,15.Feb 2020 12:20:05,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
52,15.Feb 2020 12:25:09,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
53,15.Feb 2020 12:30:13,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
54,15.Feb 2020 12:35:17,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
55,15.Feb 2020 12:40:22,ruicheng,14.425,15.425,13.68,0.9386,39.14,30000,-252.93817066939192,Open,False
