,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,10.Mar 2020 11:52:08,ruicheng,45.85,36.7,54.9,1.2354,243.0,30000,0,Close,True
1,10.Mar 2020 11:57:17,ruicheng,44.6,35.85,52.83,1.2281,250.0,30000,0,Close,True
2,10.Mar 2020 12:02:25,ruicheng,44.8,36.32,53.5,1.223,236.81,30000,0,Close,True
3,10.Mar 2020 12:07:33,ruicheng,45.6,36.51,54.27,1.2332,243.0,30000,0,Close,True
4,10.Mar 2020 12:12:39,ruicheng,44.25,35.65,52.43,1.2261,230.44,30000,0,Close,True
5,10.Mar 2020 12:17:49,ruicheng,44.6,36.16,52.56,1.2187,231.9,30000,0,Close,True
6,10.Mar 2020 12:23:00,ruicheng,43.7,35.7,51.65,1.2128,238.0,30000,0,Close,True
7,10.Mar 2020 12:28:06,ruicheng,44.0,35.6,51.36,1.2175,239.7,30000,0,Close,True
8,10.Mar 2020 12:33:11,ruicheng,44.15,35.8,51.65,1.2163,245.0,30000,0,Close,True
9,10.Mar 2020 12:38:19,ruicheng,44.35,36.0,52.1,1.2166,239.57,30000,0,Close,True
10,10.Mar 2020 12:43:25,ruicheng,45.15,36.2,53.62,1.2313,241.91,30000,0,Close,True
11,10.Mar 2020 12:48:31,ruicheng,44.65,35.97,53.01,1.2268,238.07,30000,0,Close,True
12,10.Mar 2020 12:53:37,ruicheng,44.75,36.15,52.79,1.2223,236.36,30000,0,Close,True
13,10.Mar 2020 12:58:44,ruicheng,44.2,35.85,52.13,1.2186,234.52,30000,0,Close,True
14,10.Mar 2020 13:03:50,ruicheng,43.95,35.57,51.91,1.221,240.86,30000,0,Close,True
15,10.Mar 2020 13:08:57,ruicheng,43.8,35.57,51.41,1.2159,238.39,30000,0,Close,True
16,10.Mar 2020 13:14:03,ruicheng,44.6,36.15,52.59,1.2191,233.0,30000,0,Close,True
17,10.Mar 2020 13:19:10,ruicheng,44.3,35.79,51.23,1.216,231.3,30000,0,Close,True
18,10.Mar 2020 13:24:17,ruicheng,43.97,35.47,51.07,1.2187,234.15,30000,0,Close,True
19,10.Mar 2020 13:29:25,ruicheng,43.85,35.4,51.04,1.2187,239.11,30000,0,Close,True
20,10.Mar 2020 13:34:31,ruicheng,43.9,35.55,51.06,1.2156,237.0,30000,0,Close,True
21,10.Mar 2020 13:39:37,ruicheng,44.35,35.9,51.8,1.2173,245.0,30000,0,Close,True
22,10.Mar 2020 13:44:43,ruicheng,44.25,35.75,51.6,1.2186,243.51,30000,0,Close,True
23,10.Mar 2020 13:49:50,ruicheng,45.05,36.2,51.88,1.2196,249.88,30000,0,Close,True
24,10.Mar 2020 13:54:57,ruicheng,45.3,36.35,52.64,1.2237,250.45,30000,0,Close,True
25,10.Mar 2020 14:00:04,ruicheng,45.77,36.5,53.43,1.2308,248.15,30000,0,Close,True
26,10.Mar 2020 14:05:11,ruicheng,45.9,36.65,53.88,1.2313,249.0,30000,0,Close,True
27,10.Mar 2020 14:10:41,ruicheng,45.8,36.75,53.86,1.2274,244.95,30000,0,Close,True
28,10.Mar 2020 14:15:49,ruicheng,45.85,36.6,53.74,1.2311,242.72,30000,0,Close,True
29,10.Mar 2020 14:20:56,ruicheng,45.16,36.3,52.88,1.2245,241.0,30000,0,Close,True
30,10.Mar 2020 14:26:04,ruicheng,44.8,36.2,52.06,1.2173,247.0,30000,0,Close,True
31,10.Mar 2020 14:31:11,ruicheng,44.56,36.15,52.17,1.2161,244.0,30000,0,Close,True
32,10.Mar 2020 14:36:18,ruicheng,45.15,36.52,52.77,1.2182,240.83,30000,0,Close,True
33,10.Mar 2020 14:41:24,ruicheng,44.6,36.37,51.95,1.2098,239.6,30000,0,Close,True
34,10.Mar 2020 14:46:30,ruicheng,44.45,36.05,51.39,1.2124,235.0,30000,0,Close,True
35,10.Mar 2020 14:51:36,ruicheng,44.4,35.75,51.27,1.2186,234.0,30000,0,Close,True
36,10.Mar 2020 14:56:44,ruicheng,44.05,35.65,50.31,1.2106,231.54,30000,0,Close,True
37,10.Mar 2020 15:01:50,ruicheng,43.9,35.6,49.99,1.2078,232.22,30000,0,Close,True
38,10.Mar 2020 15:07:05,ruicheng,43.55,35.42,50.27,1.2094,225.0,30000,0,Close,True
39,10.Mar 2020 15:12:12,ruicheng,43.8,35.7,50.31,1.2059,224.21,30000,0,Close,True
40,10.Mar 2020 15:17:19,ruicheng,42.8,35.05,49.32,1.2027,228.99,30000,0,Close,True
41,10.Mar 2020 15:22:25,ruicheng,42.75,35.1,49.07,1.1992,221.0,30000,0,Close,True
42,10.Mar 2020 15:27:32,ruicheng,43.05,35.22,49.03,1.2,230.69,30000,0,Close,True
43,10.Mar 2020 15:32:39,ruicheng,42.25,34.75,48.52,1.1978,231.0,30000,0,Close,True
44,10.Mar 2020 15:37:47,ruicheng,43.1,35.47,49.42,1.1968,227.49,30000,0,Close,True
45,10.Mar 2020 15:42:54,ruicheng,43.4,35.55,49.69,1.2005,223.84,30000,0,Close,True
46,10.Mar 2020 15:48:01,ruicheng,42.85,35.47,49.2,1.192,223.0,30000,0,Close,True
47,10.Mar 2020 15:53:09,ruicheng,42.05,35.12,48.5,1.1855,217.7,30000,0,Close,True
48,10.Mar 2020 15:58:16,ruicheng,42.17,34.92,48.03,1.1892,217.8,30000,0,Close,True
