,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,07.Jan 2020 08:04:48,tao,14.95,16.68,13.89,0.9211,50.75,30000,-195.07389162561577,Open,True
1,07.Jan 2020 08:10:08,tao,14.9,16.62,13.82,0.92,50.75,30000,-195.07389162561577,Open,False
2,07.Jan 2020 08:15:12,tao,14.95,16.68,13.75,0.914,50.75,30000,-195.07389162561577,Open,False
3,07.Jan 2020 08:20:15,tao,14.95,16.68,13.81,0.9171,50.75,30000,-195.07389162561577,Open,False
4,07.Jan 2020 08:25:19,tao,14.95,16.7,13.95,0.9239,50.75,30000,-195.07389162561577,Open,False
5,07.Jan 2020 08:30:23,tao,14.96,16.7,13.96,0.9241,50.75,30000,-195.07389162561577,Open,False
6,07.Jan 2020 08:35:27,tao,14.95,16.67,13.91,0.9223,50.75,30000,-195.07389162561577,Open,False
7,07.Jan 2020 08:40:31,tao,14.95,16.65,13.92,0.923,50.75,30000,-195.07389162561577,Open,False
8,07.Jan 2020 08:45:35,tao,14.95,16.7,14.02,0.9274,50.75,30000,-195.07389162561577,Open,False
9,07.Jan 2020 08:50:38,tao,14.99,16.71,14.06,0.928,50.75,30000,-195.07389162561577,Open,False
10,07.Jan 2020 08:55:42,tao,14.98,16.71,14.08,0.9294,51.35,30000,-192.79454722492696,Open,False
11,07.Jan 2020 09:00:46,tao,14.99,16.7,14.08,0.9292,51.35,30000,-192.79454722492696,Open,False
12,07.Jan 2020 09:05:49,tao,15.02,16.72,14.11,0.9294,51.29,30000,-193.02008188730747,Open,False
13,07.Jan 2020 09:10:54,tao,15.03,16.75,14.16,0.9312,51.29,30000,-193.02008188730747,Open,False
14,07.Jan 2020 09:15:58,tao,15.03,16.72,14.13,0.9301,51.65,30000,-191.67473378509197,Open,False
15,07.Jan 2020 09:21:01,tao,15.03,16.67,14.1,0.9293,51.65,30000,-191.67473378509197,Open,False
16,07.Jan 2020 09:26:05,tao,15.04,16.71,14.08,0.9274,51.56,30000,-192.00930954228082,Open,False
17,07.Jan 2020 09:31:09,tao,15.04,16.71,14.08,0.9274,51.62,30000,-191.78612940720652,Open,False
18,07.Jan 2020 09:36:13,tao,15.0,16.66,14.08,0.9294,50.53,30000,-195.92321393231742,Open,False
19,07.Jan 2020 09:41:16,tao,15.03,16.72,14.08,0.9276,51.4,30000,-192.6070038910506,Open,False
20,07.Jan 2020 09:46:20,tao,14.8,16.6,13.89,0.9271,52.19,30000,-189.69151178386664,Open,False
21,07.Jan 2020 09:51:24,tao,14.95,16.75,14.19,0.9354,51.99,30000,-190.42123485285632,Open,False
22,07.Jan 2020 09:56:29,tao,15.06,16.82,14.45,0.9439,52.15,30000,-189.83700862895495,Open,False
23,07.Jan 2020 10:01:32,tao,15.1,16.85,14.31,0.9352,51.67,30000,-191.60054190052253,Open,False
24,07.Jan 2020 10:06:35,tao,15.1,16.85,14.33,0.9362,51.4,30000,-192.6070038910506,Open,False
25,07.Jan 2020 10:11:41,tao,14.95,16.78,14.14,0.9325,51.22,30000,-193.28387348691916,Open,False
26,07.Jan 2020 10:16:45,tao,14.9,16.72,14.12,0.9339,50.89,30000,-194.53723717822754,Open,False
27,07.Jan 2020 10:21:50,tao,14.88,16.72,14.03,0.93,50.94,30000,-194.3462897526502,Open,False
28,07.Jan 2020 10:26:53,tao,14.85,16.68,13.95,0.9275,51.17,30000,-193.47273793238224,Open,False
29,07.Jan 2020 10:31:58,tao,14.83,16.65,13.93,0.9275,51.21,30000,-193.32161687170475,Open,False
30,07.Jan 2020 10:37:02,tao,14.9,16.7,14.06,0.9311,50.96,30000,-194.27001569858712,Open,False
31,07.Jan 2020 10:42:06,tao,14.86,16.66,13.93,0.9264,51.09,30000,-193.77568995889607,Open,False
32,07.Jan 2020 10:47:09,tao,14.85,16.67,13.96,0.9281,50.82,30000,-194.80519480519482,Open,False
33,07.Jan 2020 10:52:13,tao,14.83,16.7,13.98,0.9294,50.81,30000,-194.84353473725645,Open,False
34,07.Jan 2020 10:57:17,tao,14.83,16.67,13.88,0.9247,50.3,30000,-196.81908548707756,Open,False
35,07.Jan 2020 11:02:22,tao,14.82,16.67,13.89,0.9255,50.23,30000,-197.0933704957197,Open,False
36,07.Jan 2020 11:07:26,tao,14.73,16.6,13.75,0.9223,50.21,30000,-197.17187811192989,Open,False
37,07.Jan 2020 11:12:30,tao,14.7,16.61,13.6,0.9154,50.07,30000,-197.7231875374476,Open,False
38,07.Jan 2020 11:17:36,tao,14.65,16.61,13.53,0.9135,50.04,30000,-197.84172661870505,Open,False
39,07.Jan 2020 11:22:40,tao,14.63,16.55,13.56,0.9164,50.01,30000,-197.96040791841634,Open,False
40,07.Jan 2020 11:27:44,tao,14.64,16.56,13.53,0.9144,49.71,30000,-199.15509957754978,Open,False
41,07.Jan 2020 11:32:48,tao,14.64,16.55,13.5,0.913,50.01,30000,-197.96040791841634,Open,False
42,07.Jan 2020 11:37:52,tao,14.55,16.52,13.4,0.9112,49.89,30000,-198.4365604329525,Open,False
43,07.Jan 2020 11:42:55,tao,14.65,16.52,13.54,0.9151,50.04,30000,-197.84172661870505,Open,False
44,07.Jan 2020 11:47:59,tao,14.65,16.56,13.57,0.9162,50.13,30000,-197.48653500897666,Open,False
45,07.Jan 2020 11:53:03,tao,14.6,16.55,13.56,0.9174,50.27,30000,-196.93654266958424,Open,False
46,07.Jan 2020 11:58:08,tao,14.65,16.58,13.6,0.9175,50.29,30000,-196.85822231059853,Open,False
47,07.Jan 2020 12:03:12,tao,14.65,16.61,13.66,0.9202,50.2,30000,-197.21115537848604,Open,False
48,07.Jan 2020 12:08:16,tao,14.7,16.6,13.74,0.9228,50.2,30000,-197.21115537848604,Open,False
49,07.Jan 2020 12:13:20,tao,14.65,16.57,13.74,0.9248,50.25,30000,-197.01492537313433,Open,False
50,07.Jan 2020 12:18:24,tao,14.65,16.58,13.74,0.9247,50.21,30000,-197.17187811192989,Open,False
51,07.Jan 2020 12:23:28,tao,14.67,16.57,13.8,0.9272,50.16,30000,-197.3684210526316,Open,False
52,07.Jan 2020 12:28:33,tao,14.65,16.58,13.71,0.9231,50.03,30000,-197.88127123725764,Open,False
53,07.Jan 2020 12:33:36,tao,14.67,16.57,13.67,0.9205,50.14,30000,-197.4471479856402,Open,False
54,07.Jan 2020 12:38:40,tao,14.7,16.56,13.63,0.9176,50.04,30000,-197.84172661870505,Open,False
55,07.Jan 2020 12:43:45,tao,14.66,16.59,13.71,0.9227,50.15,30000,-197.40777666999003,Open,False
