,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,23.Mar 2020 08:44:33,ruicheng,57.9,53.25,65.1,1.1173,607.56,30000,0,Close,True
1,23.Mar 2020 08:49:41,ruicheng,58.0,53.25,63.37,1.0919,607.56,30000,0,Close,True
2,23.Mar 2020 08:54:48,ruicheng,56.45,52.0,65.33,1.1436,520.58,30000,0,Close,True
3,23.Mar 2020 08:59:54,ruicheng,55.65,51.36,64.5,1.1446,520.58,30000,0,Close,True
4,23.Mar 2020 09:05:01,ruicheng,55.4,50.3,64.68,1.1548,535.11,30000,0,Close,True
5,23.Mar 2020 09:10:07,ruicheng,55.5,51.55,64.06,1.1394,515.19,30000,0,Close,True
6,23.Mar 2020 09:15:13,ruicheng,54.45,50.15,63.76,1.1547,503.17,30000,0,Close,True
7,23.Mar 2020 09:20:19,ruicheng,54.95,50.15,64.66,1.1612,488.01,30000,0,Close,True
8,23.Mar 2020 09:25:27,ruicheng,55.45,51.3,65.69,1.1648,502.46,30000,0,Close,True
9,23.Mar 2020 09:30:34,ruicheng,56.15,51.7,65.69,1.1538,576.66,30000,0,Close,True
10,23.Mar 2020 09:35:41,ruicheng,56.2,51.7,65.69,1.1532,507.24,30000,0,Close,True
11,23.Mar 2020 09:40:52,ruicheng,57.55,53.45,65.69,1.129,550.0,30000,0,Close,True
12,23.Mar 2020 09:46:02,ruicheng,56.15,50.5,69.54,1.2142,534.1,30000,0,Close,True
13,23.Mar 2020 09:51:09,ruicheng,59.8,53.85,71.69,1.1819,503.45,30000,0,Close,True
14,23.Mar 2020 09:56:19,ruicheng,57.5,52.05,71.2,1.2127,490.0,30000,0,Close,True
15,23.Mar 2020 10:01:28,ruicheng,55.4,50.63,69.31,1.221,495.0,30000,0,Close,True
16,23.Mar 2020 10:06:35,ruicheng,55.25,50.6,67.92,1.203,488.88,30000,0,Close,True
17,23.Mar 2020 10:11:43,ruicheng,55.15,50.3,66.7,1.1878,480.63,30000,0,Close,True
18,23.Mar 2020 10:16:52,ruicheng,56.86,51.5,67.2,1.167,470.0,30000,0,Close,True
19,23.Mar 2020 10:22:03,ruicheng,55.1,50.65,65.79,1.1737,488.97,30000,0,Close,True
20,23.Mar 2020 10:27:18,ruicheng,54.4,50.0,64.26,1.1634,477.7,30000,0,Close,True
21,23.Mar 2020 10:32:26,ruicheng,55.2,51.25,66.1,1.1744,455.0,30000,0,Close,True
22,23.Mar 2020 10:37:32,ruicheng,54.2,50.75,65.0,1.1741,476.17,30000,0,Close,True
23,23.Mar 2020 10:42:47,ruicheng,53.1,49.45,64.36,1.1856,450.01,30000,0,Close,True
24,23.Mar 2020 10:47:59,ruicheng,54.6,50.69,65.08,1.1699,449.02,30000,0,Close,True
25,23.Mar 2020 10:53:07,ruicheng,53.3,49.05,64.56,1.1874,459.0,30000,0,Close,True
26,23.Mar 2020 10:58:17,ruicheng,53.3,49.2,63.23,1.1666,485.67,30000,0,Close,True
27,23.Mar 2020 11:03:24,ruicheng,53.33,49.42,63.07,1.1628,479.33,30000,0,Close,True
28,23.Mar 2020 11:08:38,ruicheng,55.2,50.48,65.05,1.1622,469.95,30000,0,Close,True
29,23.Mar 2020 11:13:45,ruicheng,54.55,50.57,65.2,1.1729,468.67,30000,0,Close,True
30,23.Mar 2020 11:18:56,ruicheng,54.4,50.39,64.45,1.1646,479.05,30000,0,Close,True
31,23.Mar 2020 11:24:08,ruicheng,54.75,50.55,64.75,1.1636,480.93,30000,0,Close,True
32,23.Mar 2020 11:29:30,ruicheng,54.65,50.6,65.02,1.1687,499.45,30000,0,Close,True
33,23.Mar 2020 11:34:45,ruicheng,55.2,50.94,66.25,1.1779,490.0,30000,0,Close,True
34,23.Mar 2020 11:39:58,ruicheng,55.9,51.05,67.23,1.1821,495.05,30000,0,Close,True
35,23.Mar 2020 11:45:09,ruicheng,55.6,50.85,66.11,1.1707,510.04,30000,0,Close,True
36,23.Mar 2020 11:50:18,ruicheng,56.0,51.2,66.84,1.1744,499.55,30000,0,Close,True
37,23.Mar 2020 11:55:28,ruicheng,56.9,51.9,68.36,1.1813,489.74,30000,0,Close,True
38,23.Mar 2020 12:00:54,ruicheng,56.2,51.7,67.96,1.1858,484.99,30000,0,Close,True
39,23.Mar 2020 12:06:12,ruicheng,55.9,51.45,66.31,1.1671,487.9,30000,0,Close,True
40,23.Mar 2020 12:11:32,ruicheng,55.0,50.95,65.74,1.1731,493.13,30000,0,Close,True
41,23.Mar 2020 12:16:38,ruicheng,55.45,51.92,65.37,1.1577,487.0,30000,0,Close,True
42,23.Mar 2020 12:21:54,ruicheng,55.7,51.75,65.84,1.1618,476.12,30000,0,Close,True
43,23.Mar 2020 12:27:07,ruicheng,56.1,51.81,65.53,1.1518,477.96,30000,0,Close,True
44,23.Mar 2020 12:32:22,ruicheng,54.95,50.75,63.88,1.1472,494.64,30000,0,Close,True
45,23.Mar 2020 12:37:36,ruicheng,55.15,50.95,63.94,1.1446,482.0,30000,0,Close,True
46,23.Mar 2020 12:42:51,ruicheng,56.1,51.6,64.55,1.1385,466.0,30000,0,Close,True
47,23.Mar 2020 12:47:58,ruicheng,55.05,50.96,64.11,1.1484,460.0,30000,0,Close,True
48,23.Mar 2020 12:53:05,ruicheng,54.4,49.9,62.63,1.1396,465.9,30000,0,Close,True
49,23.Mar 2020 12:58:16,ruicheng,54.0,49.7,62.16,1.1387,454.74,30000,0,Close,True
50,23.Mar 2020 13:03:24,ruicheng,54.44,50.05,61.85,1.1268,470.67,30000,0,Close,True
51,23.Mar 2020 13:08:49,ruicheng,53.67,49.65,61.36,1.1313,463.0,30000,0,Close,True
52,23.Mar 2020 13:14:00,ruicheng,54.49,50.3,62.74,1.1384,452.0,30000,0,Close,True
53,23.Mar 2020 13:19:06,ruicheng,54.5,50.19,62.83,1.14,450.0,30000,0,Close,True
54,23.Mar 2020 13:24:14,ruicheng,53.6,49.1,61.74,1.1403,466.24,30000,0,Close,True
55,23.Mar 2020 13:29:33,ruicheng,53.55,49.09,62.48,1.1522,470.87,30000,0,Close,True
56,23.Mar 2020 13:34:45,ruicheng,54.5,49.7,63.21,1.1477,471.0,30000,0,Close,True
57,23.Mar 2020 13:39:54,ruicheng,55.15,50.25,64.03,1.1488,482.0,30000,0,Close,True
58,23.Mar 2020 13:45:06,ruicheng,54.7,49.9,64.85,1.1684,480.0,30000,0,Close,True
59,23.Mar 2020 13:50:19,ruicheng,55.1,50.59,66.07,1.178,451.44,30000,0,Close,True
60,23.Mar 2020 13:55:30,ruicheng,55.0,50.1,65.61,1.1747,473.99,30000,0,Close,True
61,23.Mar 2020 14:00:44,ruicheng,53.65,49.05,63.46,1.1658,490.0,30000,0,Close,True
