,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,02.Jan 2020 08:01:34,ruicheng,14.3,16.33,13.31,0.9174,51.32,30000,-192.90724863600934,Open,True
1,02.Jan 2020 08:06:40,ruicheng,14.3,16.33,13.28,0.9158,51.32,30000,-192.90724863600934,Open,False
2,02.Jan 2020 08:11:45,ruicheng,14.3,16.31,13.27,0.9155,51.32,30000,-192.90724863600934,Open,False
3,02.Jan 2020 08:16:49,ruicheng,14.3,16.3,13.18,0.9109,51.32,30000,-192.90724863600934,Open,False
4,02.Jan 2020 08:21:53,ruicheng,14.25,16.3,13.18,0.9126,51.32,30000,-192.90724863600934,Open,False
5,02.Jan 2020 08:26:57,ruicheng,14.28,16.3,13.25,0.9153,51.32,30000,-192.90724863600934,Open,False
6,02.Jan 2020 08:32:00,ruicheng,14.27,16.32,13.25,0.9154,51.32,30000,-192.90724863600934,Open,False
7,02.Jan 2020 08:37:04,ruicheng,14.3,16.32,13.25,0.9143,51.32,30000,-192.90724863600934,Open,False
8,02.Jan 2020 08:42:08,ruicheng,14.3,16.32,13.26,0.9149,51.32,30000,-192.90724863600934,Open,False
9,02.Jan 2020 08:47:12,ruicheng,14.3,16.32,13.24,0.9138,51.32,30000,-192.90724863600934,Open,False
10,02.Jan 2020 08:52:16,ruicheng,14.24,16.28,13.23,0.9159,51.32,30000,-192.90724863600934,Open,False
11,02.Jan 2020 08:57:20,ruicheng,14.21,16.28,13.2,0.9153,48.44,30000,-204.37654830718415,Open,False
12,02.Jan 2020 09:02:24,ruicheng,14.2,16.27,13.2,0.9158,48.44,30000,-204.37654830718415,Open,False
13,02.Jan 2020 09:07:29,ruicheng,14.2,16.27,13.21,0.9163,48.04,30000,-206.0782681099084,Open,False
14,02.Jan 2020 09:12:33,ruicheng,14.25,16.3,13.24,0.9158,48.04,30000,-206.0782681099084,Open,False
