,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,02.Mar 2020 08:04:23,tao,28.0,24.05,41.62,1.3904,104.5,30000,0,Close,True
1,02.Mar 2020 08:09:29,tao,27.6,23.8,40.61,1.3785,104.5,30000,0,Close,True
2,02.Mar 2020 08:14:35,tao,27.7,23.9,40.96,1.3834,104.5,30000,0,Close,True
3,02.Mar 2020 08:19:41,tao,27.75,23.9,41.05,1.3845,104.5,30000,0,Close,True
4,02.Mar 2020 08:24:47,tao,27.65,23.85,40.91,1.3842,104.5,30000,0,Close,True
5,02.Mar 2020 08:29:52,tao,27.55,23.8,40.55,1.3782,104.5,30000,0,Close,True
6,02.Mar 2020 08:34:58,tao,28.0,24.0,41.4,1.3856,104.5,30000,0,Close,True
7,02.Mar 2020 08:40:03,tao,28.2,24.1,41.49,1.3815,104.5,30000,0,Close,True
8,02.Mar 2020 08:45:09,tao,27.92,24.0,41.21,1.3828,104.5,30000,0,Close,True
9,02.Mar 2020 08:50:14,tao,27.75,23.9,40.91,1.3809,104.5,30000,0,Close,True
10,02.Mar 2020 08:55:20,tao,28.1,24.05,41.29,1.3797,111.03,30000,0,Close,True
11,02.Mar 2020 09:00:25,tao,27.7,23.85,40.92,1.3832,111.03,30000,0,Close,True
12,02.Mar 2020 09:05:31,tao,27.15,23.55,39.9,1.3752,108.34,30000,0,Close,True
13,02.Mar 2020 09:10:37,tao,26.7,23.29,38.76,1.3607,110.69,30000,0,Close,True
14,02.Mar 2020 09:15:43,tao,26.7,23.27,38.71,1.3597,108.4,30000,0,Close,True
15,02.Mar 2020 09:20:49,tao,26.85,23.55,38.51,1.3466,106.5,30000,0,Close,True
16,02.Mar 2020 09:25:55,tao,26.95,23.47,38.54,1.3461,102.6,30000,0,Close,True
17,02.Mar 2020 09:31:01,tao,26.65,23.4,38.54,1.3546,98.27,30000,0,Close,True
18,02.Mar 2020 09:36:07,tao,26.6,23.22,38.54,1.3585,102.45,30000,0,Close,True
19,02.Mar 2020 09:41:12,tao,26.2,22.97,37.33,1.3401,105.96,30000,0,Close,True
20,02.Mar 2020 09:46:18,tao,27.05,23.42,37.42,1.3153,102.58,30000,0,Close,True
21,02.Mar 2020 09:51:24,tao,27.43,23.62,38.26,1.3252,103.57,30000,0,Close,True
22,02.Mar 2020 09:56:30,tao,26.88,23.32,37.27,1.3169,103.76,30000,0,Close,True
23,02.Mar 2020 10:01:36,tao,26.95,23.55,37.68,1.3225,105.7,30000,0,Close,True
24,02.Mar 2020 10:06:42,tao,27.03,23.45,38.13,1.3338,108.82,30000,0,Close,True
25,02.Mar 2020 10:11:48,tao,27.31,23.72,38.86,1.342,108.69,30000,0,Close,True
