,date,1st mth,2nd mth,VIX,current_expire,previous_expire,next_expire,TTM,Period,ratio1,ratio2,sa_ratio,wa_ratio,enter,setup_coef,open,close,volume,high,low,capital,daily_pnl,unrealized_pnl,realized_pnl,position,trade_logs,date_int
0,2011-01-03,19.3,21.35,17.61,2011-01-19,2010-12-22,2011-02-16,16 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9124352331606217,0.9039812646370023,0.908208248898812,0.9088121037933563,True,0.3,156375008.0,151250000.0,0,156375008.0,149150000.0,10000.0,0.0,0.0,0.0,0.0,,20110103
1,2011-01-04,19.1,21.3,17.38,2011-01-19,2010-12-22,2011-02-16,15 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9099476439790575,0.8967136150234742,0.9033306295012659,0.9038032733925367,True,0.3,151624992.0,149975008.0,0,160924992.0,149975008.0,10032.646016561703,32.64601656170244,0.0,32.64601656170244,-1.9785656443760933e-05,daily rebalance,20110104
2,2011-01-05,18.7,20.95,17.02,2011-01-19,2010-12-22,2011-02-16,14 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9101604278074866,0.8926014319809069,0.9013809298941968,0.9013809298941968,True,0.3,156100000.0,146550000.0,0,156224992.0,144950000.0,10216.781383873998,184.1353673122952,0.0,184.1353673122952,-1.9281190294481172e-05,daily rebalance,20110105
3,2011-01-06,18.65,20.9,17.4,2011-01-19,2010-12-22,2011-02-16,13 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9329758713136729,0.8923444976076554,0.9126601844606641,0.9112090639711635,True,0.3,145324992.0,147350000.0,0,150000000.0,143775008.0,10216.781383873998,-42.70923483676349,-42.70923483676349,0.0,-2.109089684424135e-05,hold,20110106
4,2011-01-07,18.7,21.0,17.14,2011-01-19,2010-12-22,2011-02-16,12 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9165775401069519,0.8904761904761904,0.9035268652915711,0.9016624831750881,True,0.3,145000000.0,148075008.0,0,155950000.0,140450000.0,10216.781383873998,-64.85467652321691,-107.56391135998041,0.0,-2.109089684424135e-05,hold,20110107
5,2011-01-10,18.65,21.0,17.54,2011-01-19,2010-12-22,2011-02-16,9 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9404825737265415,0.888095238095238,0.9142889059108898,0.9049340245481571,True,0.3,152500000.0,147375008.0,0,157500000.0,146024992.0,10217.30815011358,108.09067759956217,0.0,0.5267662395817609,-2.109089684424135e-05,hold rebalance,20110110
6,2011-01-11,17.95,20.4,16.89,2011-01-19,2010-12-22,2011-02-16,8 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9409470752089137,0.8799019607843137,0.9104245179966137,0.897343422048485,True,0.4,142975008.0,138524992.0,0,145200000.0,138524992.0,10312.710525775492,95.40237566191114,0.0,95.40237566191114,-2.1438659020981304e-05,daily rebalance,20110111
7,2011-01-12,17.0,19.45,16.24,2011-01-19,2010-12-22,2011-02-16,7 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9552941176470587,0.8740359897172236,0.9146650536821412,0.8943505216996823,True,0.4,135000000.0,126925000.0,0,135000000.0,126000000.0,10559.451673910713,246.741148135221,0.0,246.741148135221,-3.0556179335631086e-05,daily rebalance,20110112
8,2011-01-13,16.95,19.3,16.39,2011-01-19,2010-12-22,2011-02-16,6 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9669616519174042,0.8782383419689118,0.922599996943158,0.8972504798150174,True,0.4,126050000.0,124450000.0,0,129000000.0,123750000.0,10613.065708589831,53.61403467911826,0.0,53.61403467911826,-3.3508771674448914e-05,daily rebalance,20110113
9,2011-01-14,16.25,18.4,15.46,2011-01-19,2010-12-22,2011-02-16,5 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9513846153846154,0.8831521739130436,0.9172683946488295,0.8953365384615385,True,0.4,124625000.0,113250000.0,0,124625000.0,110950000.0,11000.543734460112,387.4780258702807,0.0,387.4780258702807,-3.406400227431039e-05,daily rebalance,20110114
