,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,07.Feb 2020 08:04:43,tao,15.93,16.27,15.38,0.9713,42.5,30000,0,Close,True
1,07.Feb 2020 08:10:01,tao,15.95,16.25,15.37,0.9713,42.5,30000,0,Close,True
2,07.Feb 2020 08:15:18,tao,15.95,16.25,15.31,0.9691,42.5,30000,0,Close,True
3,07.Feb 2020 08:20:34,tao,15.95,16.25,15.3,0.9687,42.5,30000,0,Close,True
4,07.Feb 2020 08:25:49,tao,15.9,16.25,15.3,0.9692,42.5,30000,0,Close,True
5,07.Feb 2020 08:31:04,tao,15.95,16.25,15.25,0.9669,42.5,30000,0,Close,True
6,07.Feb 2020 08:36:20,tao,15.85,16.2,15.23,0.9683,42.5,30000,0,Close,True
7,07.Feb 2020 08:41:36,tao,15.75,16.15,15.15,0.9676,42.5,30000,0,Close,True
8,07.Feb 2020 08:46:52,tao,16.0,16.32,15.57,0.9762,42.5,30000,0,Close,True
9,07.Feb 2020 08:52:08,tao,15.9,16.2,15.53,0.9788,42.5,30000,0,Close,True
10,07.Feb 2020 08:57:23,tao,16.06,16.32,15.52,0.9739,43.48,30000,0,Close,True
11,07.Feb 2020 09:02:38,tao,16.0,16.27,15.51,0.9753,43.8,30000,0,Close,True
12,07.Feb 2020 09:07:54,tao,15.95,16.25,15.52,0.9767,44.31,30000,0,Close,True
13,07.Feb 2020 09:13:09,tao,15.86,16.18,15.51,0.9789,44.52,30000,0,Close,True
14,07.Feb 2020 09:18:24,tao,15.9,16.2,15.43,0.9751,44.0,30000,0,Close,True
15,07.Feb 2020 09:23:38,tao,15.95,16.25,15.45,0.9741,44.18,30000,0,Close,True
16,07.Feb 2020 09:28:54,tao,16.01,16.28,15.49,0.9743,43.74,30000,0,Close,True
17,07.Feb 2020 09:34:09,tao,16.07,16.32,15.49,0.9728,44.89,30000,0,Close,True
18,07.Feb 2020 09:39:31,tao,16.1,16.33,15.49,0.9722,44.59,30000,0,Close,True
19,07.Feb 2020 09:44:46,tao,16.2,16.4,15.49,0.9696,44.82,30000,0,Close,True
20,07.Feb 2020 09:50:03,tao,16.15,16.38,15.67,0.977,44.57,30000,0,Close,True
21,07.Feb 2020 09:55:20,tao,16.15,16.4,15.82,0.9818,44.33,30000,0,Close,True
22,07.Feb 2020 10:00:37,tao,16.1,16.32,15.66,0.9786,45.09,30000,0,Close,True
23,07.Feb 2020 10:05:53,tao,16.02,16.27,15.61,0.9788,45.5,30000,0,Close,True
24,07.Feb 2020 10:11:10,tao,16.3,16.42,15.63,0.9733,44.81,30000,0,Close,True
25,07.Feb 2020 10:16:27,tao,16.3,16.43,16.03,0.9871,44.94,30000,0,Close,True
26,07.Feb 2020 10:21:43,tao,16.25,16.35,16.01,0.9889,44.11,30000,0,Close,True
27,07.Feb 2020 10:26:58,tao,16.23,16.37,15.81,0.9815,44.39,30000,0,Close,True
28,07.Feb 2020 10:32:20,tao,15.98,16.25,15.79,0.9861,44.0,30000,0,Close,True
29,07.Feb 2020 10:37:36,tao,16.08,16.3,15.58,0.9764,44.36,30000,0,Close,True
30,07.Feb 2020 10:42:51,tao,16.0,16.21,15.49,0.9762,44.5,30000,0,Close,True
31,07.Feb 2020 10:48:07,tao,16.06,16.27,15.55,0.9763,44.36,30000,0,Close,True
32,07.Feb 2020 10:53:23,tao,16.0,16.23,15.44,0.9739,44.15,30000,0,Close,True
33,07.Feb 2020 10:58:38,tao,16.1,16.25,15.55,0.9765,43.94,30000,0,Close,True
34,07.Feb 2020 11:03:54,tao,16.0,16.25,15.56,0.9777,44.5,30000,0,Close,True
35,07.Feb 2020 11:09:09,tao,16.01,16.2,15.44,0.9746,44.06,30000,0,Close,True
36,07.Feb 2020 11:14:25,tao,16.05,16.27,15.46,0.9731,44.04,30000,0,Close,True
37,07.Feb 2020 11:19:41,tao,16.01,16.28,15.48,0.9739,44.01,30000,0,Close,True
38,07.Feb 2020 11:24:57,tao,15.98,16.21,15.46,0.9753,43.35,30000,0,Close,True
39,07.Feb 2020 11:30:12,tao,15.98,16.2,15.45,0.9752,43.36,30000,0,Close,True
40,07.Feb 2020 11:35:31,tao,15.83,16.11,15.22,0.9705,43.25,30000,0,Close,True
41,07.Feb 2020 11:40:48,tao,15.85,16.13,15.22,0.9698,43.45,30000,0,Close,True
42,07.Feb 2020 11:46:04,tao,15.82,16.22,15.2,0.967,43.68,30000,0,Close,True
43,07.Feb 2020 11:51:20,tao,15.81,16.12,15.2,0.9697,43.67,30000,0,Close,True
44,07.Feb 2020 11:56:35,tao,15.88,16.15,15.3,0.9719,43.45,30000,0,Close,True
45,07.Feb 2020 12:01:50,tao,15.88,16.18,15.3,0.9711,43.29,30000,0,Close,True
46,07.Feb 2020 12:07:07,tao,15.83,16.12,15.3,0.9731,43.03,30000,0,Close,True
47,07.Feb 2020 12:12:23,tao,15.8,16.07,15.08,0.9667,43.19,30000,0,Close,True
48,07.Feb 2020 12:17:38,tao,15.78,16.07,15.11,0.9679,42.89,30000,0,Close,True
49,07.Feb 2020 12:22:53,tao,15.76,16.1,15.04,0.9648,42.95,30000,0,Close,True
50,07.Feb 2020 12:28:08,tao,15.72,16.05,14.95,0.9631,42.96,30000,0,Close,True
51,07.Feb 2020 12:33:23,tao,15.74,16.06,14.95,0.9627,43.02,30000,0,Close,True
52,07.Feb 2020 12:38:40,tao,15.75,16.06,14.97,0.9633,43.24,30000,0,Close,True
53,07.Feb 2020 12:43:56,tao,15.75,16.07,14.94,0.962,43.25,30000,0,Close,True
54,07.Feb 2020 12:49:12,tao,15.78,16.11,15.04,0.9644,43.46,30000,0,Close,True
55,07.Feb 2020 12:54:28,tao,15.78,16.1,15.05,0.965,43.45,30000,0,Close,True
56,07.Feb 2020 12:59:44,tao,15.85,16.13,15.07,0.9644,43.24,30000,0,Close,True
57,07.Feb 2020 13:05:01,tao,15.85,16.2,15.07,0.9625,43.44,30000,0,Close,True
58,07.Feb 2020 13:10:29,tao,15.8,16.15,15.1,0.9653,43.36,30000,0,Close,True
59,07.Feb 2020 13:15:48,tao,15.8,16.15,15.13,0.9664,43.46,30000,0,Close,True
60,07.Feb 2020 13:21:04,tao,15.77,16.12,15.14,0.9678,43.43,30000,0,Close,True
61,07.Feb 2020 13:26:20,tao,15.85,16.15,15.17,0.9675,43.46,30000,0,Close,True
62,07.Feb 2020 13:31:37,tao,15.81,16.12,15.18,0.9689,43.24,30000,0,Close,True
63,07.Feb 2020 13:36:54,tao,15.81,16.13,15.16,0.9679,43.52,30000,0,Close,True
64,07.Feb 2020 13:42:10,tao,15.78,16.11,15.17,0.9691,43.96,30000,0,Close,True
65,07.Feb 2020 13:47:29,tao,15.85,16.15,15.17,0.9675,43.82,30000,0,Close,True
66,07.Feb 2020 13:52:45,tao,15.94,16.22,15.39,0.9728,43.9,30000,0,Close,True
67,07.Feb 2020 13:58:07,tao,15.96,16.22,15.38,0.9723,44.07,30000,0,Close,True
68,07.Feb 2020 14:03:23,tao,15.9,16.21,15.42,0.9745,44.63,30000,0,Close,True
69,07.Feb 2020 14:08:40,tao,15.98,16.27,15.35,0.9698,44.91,30000,0,Close,True
70,07.Feb 2020 14:13:56,tao,16.1,16.34,15.65,0.9777,45.6,30000,0,Close,True
71,07.Feb 2020 14:19:12,tao,16.25,16.38,15.65,0.9754,45.07,30000,0,Close,True
72,07.Feb 2020 14:24:27,tao,16.35,16.49,15.8,0.9771,45.6,30000,0,Close,True
73,07.Feb 2020 14:29:43,tao,16.31,16.47,16.06,0.9871,44.94,30000,0,Close,True
74,07.Feb 2020 14:34:58,tao,16.35,16.49,16.12,0.9883,44.64,30000,0,Close,True
75,07.Feb 2020 14:40:14,tao,16.16,16.37,15.92,0.986,44.87,30000,0,Close,True
76,07.Feb 2020 14:45:29,tao,16.11,16.35,15.92,0.987,44.5,30000,0,Close,True
77,07.Feb 2020 14:50:44,tao,16.18,16.36,15.76,0.9804,44.45,30000,0,Close,True
78,07.Feb 2020 14:56:01,tao,16.05,16.31,15.77,0.9832,44.54,30000,0,Close,True
79,07.Feb 2020 15:01:16,tao,16.15,16.32,15.68,0.9789,43.95,30000,0,Close,True
80,07.Feb 2020 15:06:30,tao,16.06,16.27,15.68,0.9809,44.14,30000,0,Close,True
81,07.Feb 2020 15:11:45,tao,15.95,16.15,15.66,0.9843,44.56,30000,0,Close,True
82,07.Feb 2020 15:17:01,tao,16.0,16.24,15.52,0.9765,44.14,30000,0,Close,True
83,07.Feb 2020 15:22:16,tao,16.15,16.35,15.51,0.972,44.31,30000,0,Close,True
84,07.Feb 2020 15:27:30,tao,16.03,16.22,15.55,0.9778,44.3,30000,0,Close,True
85,07.Feb 2020 15:32:44,tao,16.08,16.27,15.61,0.9782,44.02,30000,0,Close,True
86,07.Feb 2020 15:38:00,tao,16.05,16.25,15.62,0.9794,44.11,30000,0,Close,True
87,07.Feb 2020 15:43:15,tao,15.97,16.17,15.61,0.9818,44.02,30000,0,Close,True
88,07.Feb 2020 15:48:41,tao,16.1,16.25,15.53,0.9757,43.56,30000,0,Close,True
89,07.Feb 2020 15:53:57,tao,16.0,16.2,15.5,0.9768,43.87,30000,0,Close,True
90,07.Feb 2020 15:59:25,tao,15.93,16.15,15.47,0.9776,43.77,30000,0,Close,True
