,time,user,vix_mth1,vix_mth2,vix_spot,wa_ratio,market_px,capital,position,log,email_sent
0,24.Dec 2019 08:02:21,tao,14.72,16.47,12.65,0.8617,51.13,30000,-234.69587326422842,Open,True
1,24.Dec 2019 08:07:27,tao,14.75,16.5,12.65,0.8601,51.13,30000,-234.69587326422842,Open,False
2,24.Dec 2019 08:12:31,tao,14.77,16.52,12.64,0.8584,51.13,30000,-234.69587326422842,Open,False
3,24.Dec 2019 08:17:34,tao,14.77,16.52,12.56,0.8534,51.13,30000,-234.69587326422842,Open,False
4,24.Dec 2019 08:22:38,tao,14.77,16.52,12.65,0.859,51.13,30000,-234.69587326422842,Open,False
5,24.Dec 2019 08:27:42,tao,14.77,16.52,12.66,0.8597,51.13,30000,-234.69587326422842,Open,False
6,24.Dec 2019 08:32:45,tao,14.75,16.52,12.65,0.86,51.13,30000,-234.69587326422842,Open,False
7,24.Dec 2019 08:37:50,tao,14.77,16.51,12.63,0.8578,51.13,30000,-234.69587326422842,Open,False
8,24.Dec 2019 08:42:53,tao,14.75,16.5,12.61,0.8576,51.13,30000,-234.69587326422842,Open,False
9,24.Dec 2019 08:47:58,tao,14.77,16.52,12.64,0.8584,51.13,30000,-234.69587326422842,Open,False
10,24.Dec 2019 08:53:02,tao,14.75,16.52,12.65,0.86,51.13,30000,-234.69587326422842,Open,False
11,24.Dec 2019 08:58:06,tao,14.75,16.51,12.64,0.8594,50.8,30000,-236.2204724409449,Open,False
12,24.Dec 2019 09:03:09,tao,14.76,16.53,12.66,0.8601,50.8,30000,-236.2204724409449,Open,False
13,24.Dec 2019 09:08:13,tao,14.76,16.53,12.65,0.8595,50.85,30000,-235.9882005899705,Open,False
14,24.Dec 2019 09:13:17,tao,14.76,16.53,12.62,0.8576,50.85,30000,-235.9882005899705,Open,False
15,24.Dec 2019 09:18:21,tao,14.76,16.53,12.63,0.8582,50.96,30000,-235.47880690737833,Open,False
16,24.Dec 2019 09:23:26,tao,14.75,16.53,12.66,0.8606,50.96,30000,-235.47880690737833,Open,False
17,24.Dec 2019 09:28:30,tao,14.75,16.53,12.65,0.86,51.09,30000,-234.87962419260128,Open,False
18,24.Dec 2019 09:33:33,tao,14.75,16.53,12.65,0.86,50.97,30000,-235.43260741612713,Open,False
19,24.Dec 2019 09:38:37,tao,14.75,16.5,12.65,0.8601,51.06,30000,-235.01762632197415,Open,False
20,24.Dec 2019 09:43:41,tao,14.8,16.51,12.62,0.8557,51.14,30000,-234.64998044583496,Open,False
21,24.Dec 2019 09:48:46,tao,14.77,16.57,12.65,0.8589,51.31,30000,-233.87253946599103,Open,False
22,24.Dec 2019 09:53:50,tao,14.8,16.56,12.71,0.8612,51.29,30000,-233.96373562097875,Open,False
23,24.Dec 2019 09:58:55,tao,14.8,16.57,12.79,0.8662,51.15,30000,-234.60410557184753,Open,False
24,24.Dec 2019 10:04:00,tao,14.8,16.61,12.83,0.8685,50.95,30000,-235.5250245338567,Open,False
25,24.Dec 2019 10:09:04,tao,14.8,16.59,12.8,0.8667,50.94,30000,-235.57126030624264,Open,False
26,24.Dec 2019 10:14:10,tao,14.75,16.55,12.74,0.8656,50.85,30000,-235.9882005899705,Open,False
27,24.Dec 2019 10:19:14,tao,14.75,16.57,12.76,0.8668,50.83,30000,-236.08105449537675,Open,False
28,24.Dec 2019 10:24:20,tao,14.75,16.55,12.78,0.8681,50.79,30000,-236.26698168930892,Open,False
29,24.Dec 2019 10:29:24,tao,14.7,16.5,12.77,0.8702,50.81,30000,-236.17398149970478,Open,False
30,24.Dec 2019 10:34:29,tao,14.75,16.5,12.77,0.8677,50.78,30000,-236.31350925561244,Open,False
31,24.Dec 2019 10:39:32,tao,14.71,16.53,12.72,0.8664,50.8,30000,-236.2204724409449,Open,False
32,24.Dec 2019 10:44:36,tao,14.7,16.5,12.69,0.8652,50.81,30000,-236.17398149970478,Open,False
33,24.Dec 2019 10:49:40,tao,14.71,16.5,12.67,0.8634,50.81,30000,-236.17398149970478,Open,False
34,24.Dec 2019 10:54:44,tao,14.71,16.53,12.66,0.8626,50.8,30000,-236.2204724409449,Open,False
35,24.Dec 2019 10:59:47,tao,14.75,16.53,12.64,0.8594,50.82,30000,-236.12750885478158,Open,False
36,24.Dec 2019 11:04:53,tao,14.71,16.53,12.64,0.8614,50.83,30000,-236.08105449537675,Open,False
37,24.Dec 2019 11:10:08,tao,14.73,16.53,12.67,0.8623,50.82,30000,-236.12750885478158,Open,False
38,24.Dec 2019 11:15:14,tao,14.7,16.52,12.65,0.8626,50.4,30000,-238.0952380952381,Open,False
39,24.Dec 2019 11:20:19,tao,14.7,16.51,12.63,0.8613,50.36,30000,-238.28435266084193,Open,False
40,24.Dec 2019 11:25:25,tao,14.62,16.45,12.6,0.8637,50.36,30000,-238.28435266084193,Open,False
41,24.Dec 2019 11:30:30,tao,14.66,16.48,12.59,0.8609,50.27,30000,-238.71096081161724,Open,False
42,24.Dec 2019 11:35:35,tao,14.6,16.45,12.59,0.8641,50.35,30000,-238.33167825223435,Open,False
43,24.Dec 2019 11:40:42,tao,14.6,16.45,12.58,0.8634,50.38,30000,-238.18975784041285,Open,False
44,24.Dec 2019 11:45:48,tao,14.63,16.47,12.58,0.8618,50.35,30000,-238.33167825223435,Open,False
